pair_ID,sentence_A,sentence_B,entailment_label,relatedness_score,entailment_AB,entailment_BA,sentence_A_original,sentence_B_original,sentence_A_dataset,sentence_B_dataset,SemEval_set
1888,,,sick,,,,,A man is passionately playing a guitar,One man is passionately playing the guitar,,entailment
7668,,,sick,,,,,A man is performing a handstand on the beach,A handstand is being performed by a man on the beach,,entailment
3584,,,sick,,,,,A man is playing the drums,The drums are being played by a man,,entailment
3014,,,sick,,,,,A man in a suit is standing at a microphone and singing,The man on stage is singing into the microphone,,entailment
6195,,,sick,,,,,A group of Asian girls are standing by themselves,A group of Asian girls are standing together,,entailment
4046,,,sick,,,,,A man is standing still,A man is dancing,,neutral
7545,,,sick,,,,,A football player in a purple jersey is running with the ball for a touchdown,A football player is running past an official carrying a football,,neutral
2064,,,sick,,,,,A boy in his teens is talking to a girl with an internet camera,A boy in his teens is talking to a girl with a webcam,,entailment
5812,,,sick,,,,,A man is shooting with a gun,A man is rowing a canoe,,neutral
7389,,,sick,,,,,A child is swimming underwater in a pool,A child is swimming on the water's surface in a pool,,neutral
4365,,,sick,,,,,A person is tearing sheets,A man is cutting a paper,,neutral
1842,,,sick,,,,,One man is sitting steadily on the chair,One man is sitting on the chair,,entailment
4251,,,sick,,,,,A costumed performer is singing and people are dancing,A clown is singing,,neutral
3510,,,sick,,,,,The woman is dicing garlic,A woman is slicing garlic,,entailment
5017,,,sick,,,,,A woman is painting a man's face,A man's face is being painted by a woman,,entailment
1222,,,sick,,,,,A small monkey is walking through water,There is no monkey wading through a marsh,,neutral
3756,,,sick,,,,,A boy is studying a calendar,A boy is staring at a calendar,,entailment
6152,,,sick,,,,,A race car driver is standing up and is fiercely pointing his hand at the sky,A race car driver is standing up and pointing his hand at the sky,,entailment
9868,,,sick,,,,,A fish is being sliced by a man,A cat is jumping into a box,,neutral
8630,,,sick,,,,,People are sitting against a wall,Five adults are sitting on stone steps,,neutral
2632,,,sick,,,,,A man is wearing a hard hat and dancing,A man with a hard hat is dancing,,entailment
4717,,,sick,,,,,A monkey is kicking a person,A person is being kicked by a monkey,,entailment
8368,,,sick,,,,,A boy is jumping off the side of a stone water fountain in front of a building,A boy in a striped shirt is jumping behind a water fountain,,neutral
8462,,,sick,,,,,A young man in a white shirt and gold and black hat is sitting with crossed legs,A young person in a white shirt and gold and black hat is sitting with crossed legs,,entailment
5347,,,sick,,,,,A man is playing a large flute,A large flute is being played by a man,,entailment
1809,,,sick,,,,,The loud man is not allowed to play the guitar,A flute is being played by a man,,neutral
8955,,,sick,,,,,A woman in a bikini is pulling a cat on a leash at the beach,A woman is standing at the beach with a dog on a leash,,neutral
1606,,,sick,,,,,The man is operating a stenograph,A man is typing on a machine used for stenography,,entailment
1753,,,sick,,,,,One man is turning on the microwave,A man is pushing the buttons of a microwave,,entailment
124,,,sick,,,,,Five kids are standing close together and none of the kids has a gun,Five children are standing in front of a wooden hut,,neutral
3887,,,sick,,,,,A man is singing passionately,A man is singing,,entailment
4056,,,sick,,,,,A man is running on the road,The man is running on the road,,entailment
846,,,sick,,,,,"A man with equipment used for climbing is hanging from a white, vertical rock.",A woman with pigtails is climbing a rock wall,,neutral
9675,,,sick,,,,,A little girl and a woman wearing a yellow shirt are getting splashed by a city fountain,The young girl is playing on the edge of a fountain and an older woman is watching her,,neutral
8024,,,sick,,,,,A dog is playing on the green grass,A brown and white cat is playing on the grass,,neutral
7927,,,sick,,,,,A person in a pink jacket is running onto the field,A person in pink is running onto the field,,entailment
4826,,,sick,,,,,A man is slicing a potato into pieces,A man is cutting a potato into pieces,,entailment
9309,,,sick,,,,,A skateboarder is jumping in the air,A man in a red shirt is doing a trick with the skateboard,,neutral
4442,,,sick,,,,,A man is playing the guitar,A woman is putting on lipstick,,neutral
3314,,,sick,,,,,The south African plane is flying in a blue sky,An airplane is flying through the air,,entailment
9435,,,sick,,,,,The black and white dog is running in a field,The black and white dog is running outdoors,,entailment
3836,,,sick,,,,,A horse is being ridden in a creek by a man,The man is riding a horse by a creek,,entailment
5758,,,sick,,,,,The man is playing a game on the grass,The rhino is grazing on the grass,,neutral
4162,,,sick,,,,,A man is playing a wooden flute,A man is playing the piano,,neutral
4084,,,sick,,,,,The man is riding a horse,A man is riding a horse,,entailment
2049,,,sick,,,,,A cat is playing with a device,The boy is enthusiastically playing in the mud,,neutral
8750,,,sick,,,,,Four people are walking on a bridge over a river,Four people are walking on a bridge over a body of water,,entailment
6306,,,sick,,,,,The woman is playing with two young boys at a park,A woman is playing with two young boys at a park,,entailment
9456,,,sick,,,,,A dog is jumping high into the air in the country,A dog is jumping on a trees in the shades,,neutral
6404,,,sick,,,,,"The male, who is dark skinned, is standing on one hand in front of a yellow building",The dark skinned male is standing on one hand in front of a yellow building,,entailment
2030,,,sick,,,,,The man is practicing the guitar,The person is practicing the guitar,,entailment
3254,,,sick,,,,,Eggs are being boiled by a woman,A woman is placing two eggs into a pot of water,,neutral
4304,,,sick,,,,,A woman is riding a horse,A woman is riding an animal,,entailment
7896,,,sick,,,,,A white race car is driving through a puddle,A white racing vehicle is driving through a puddle,,entailment
2232,,,sick,,,,,A woman is tapping her fingers on a table,A woman is tapping her fingers nervously,,neutral
6104,,,sick,,,,,A dog in a colored coat is running swiftly across the yard,A dog in a colored coat is running across the yard,,entailment
1591,,,sick,,,,,The chef is carefully pouring oil in the pan,A man is pouring liquid into a pot,,neutral
3166,,,sick,,,,,A man is cutting a box,The man is cutting the tape on the box,,neutral
3304,,,sick,,,,,A man is walking a woman through the woods,The man and woman are walking,,entailment
7077,,,sick,,,,,A black dog with a red collar is amusedly putting its face in the water,A black dog is standing in shallow water,,neutral
5886,,,sick,,,,,A skateboarder is doing tricks on a half pipe,A man is skateboarding on a half pipe,,entailment
4636,,,sick,,,,,A keyboard is being played by a man,A man is playing a keyboard,,entailment
5646,,,sick,,,,,Someone is stirring a pot of chili with a spoon,Someone is stirring chili in a pot,,entailment
9659,,,sick,,,,,A dog is running on the sand and chasing a ball,A brown and white dog is catching a dirty tennis ball in a dirt field,,neutral
2711,,,sick,,,,,A karate practitioner is kicking at another man who is wearing protective boxing gloves,A karate practitioner is kicking at another man who is wearing protective gloves for boxing,,entailment
6958,,,sick,,,,,Four people are performing music outdoors,Four people are silently standing outdoors,,neutral
1184,,,sick,,,,,A man and a woman are hiking through a wooded area,A man and a woman are walking through a wooded area,,entailment
2682,,,sick,,,,,A man is getting into a car in a garage,A man is getting off the car,,neutral
950,,,sick,,,,,Two young kids are eating corndogs,Two young children are eating corndogs,,entailment
5633,,,sick,,,,,The guitar is being played by a kid,A kid is playing the guitar,,entailment
6805,,,sick,,,,,A man is naked and is lying in the field,A man is wearing a sports uniform and is running down the field,,neutral
5794,,,sick,,,,,A man is slicing a fish,A fish is being cut by a man,,entailment
5133,,,sick,,,,,A man is sprinkling shredded cheese on a pizza,A man is putting seasoning on a pizza,,neutral
3359,,,sick,,,,,A potato is being peeled by a woman,A woman is peeling a potato,,entailment
2486,,,sick,,,,,One man is dancing,A man is dancing,,entailment
603,,,sick,,,,,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling","A lady of young age, with light brown hair, is wearing a red necklace, a sweatshirt and earrings and is smiling",,entailment
5772,,,sick,,,,,A man is riding an electric bicycle,A person is riding an electric bicycle,,entailment
2235,,,sick,,,,,A dog is pushing a toddler into a rain puddle,A dog is pushing a toddler into a puddle of rain,,entailment
7104,,,sick,,,,,A small girl is riding in a toy car,The small girl is riding in the toy car,,entailment
1239,,,sick,,,,,A woman is dancing and singing with other women,A woman is performing in the rain,,neutral
3039,,,sick,,,,,The puppy is playing with a plastic container,The dog is playing with a plastic container,,entailment
9051,,,sick,,,,,A pair of kids are sticking out blue and green colored tongues,Two kids are sticking out blue and green colored tongues,,entailment
8932,,,sick,,,,,Two males are standing on a cliff edge and one is jumping into the sea,Two males are standing on a cliff edge and one is jumping into the water,,entailment
1626,,,sick,,,,,The man is playing a piano,A guy is cheerfully playing with a footbag,,neutral
8593,,,sick,,,,,An Arabic man isn't wearing a white hat,A man with a white hat and brown shirt is behind a woman in red and is looking to the left,,neutral
9085,,,sick,,,,,A large man is sitting in a military accessories shop,A large man is sitting in a military accessories store,,entailment
935,,,sick,,,,,A young child is barefoot and is walking past a puddle full of mud,A young child is wearing green boots and playing in a puddle full of mud,,neutral
5623,,,sick,,,,,A man is severing the toe of an empty leather boot with a sword,A man is cutting a boot with a sword,,entailment
7444,,,sick,,,,,The show for the small child is being set on an exciting swing at the park,A small child is showing excitement on a swing set at the park,,neutral
1280,,,sick,,,,,A man is walking in a yard,A man is walking outside,,entailment
