index,label
0,0
1,0
2,0
3,0
4,0
5,1
6,1
7,0
8,1
9,1
10,1
11,0
12,1
13,0
14,0
15,1
16,0
17,0
18,1
19,1
20,0
21,0
22,1
23,0
24,0
25,1
26,1
27,0
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,0
37,1
38,1
39,0
40,0
41,0
42,1
43,1
44,0
45,1
46,0
47,0
48,1
49,0
50,0
51,1
52,0
53,0
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,0
63,1
64,0
65,1
66,0
67,1
68,0
69,0
70,1
71,0
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,1
84,1
85,0
86,1
87,0
88,1
89,0
90,1
91,1
92,1
93,0
94,1
95,1
96,0
97,1
98,1
99,1
100,1
101,0
102,0
103,1
104,0
105,1
106,0
107,0
108,1
109,1
110,0
111,1
112,1
113,1
114,0
115,1
116,0
117,1
118,0
119,1
120,1
121,0
122,1
123,0
124,1
125,0
126,0
127,1
128,1
129,0
130,1
131,0
132,0
133,0
134,0
135,1
136,0
137,0
138,0
139,0
140,0
141,1
142,0
143,1
144,0
145,1
146,1
147,1
148,1
149,0
150,0
151,0
152,1
153,0
154,0
155,0
156,1
157,0
158,1
159,0
160,1
161,1
162,1
163,1
164,1
165,1
166,0
167,1
168,1
169,0
170,0
171,0
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,0
180,1
181,1
182,0
183,0
184,1
185,1
186,0
187,0
188,1
189,0
190,1
191,1
192,1
193,1
194,0
195,0
196,1
197,0
198,0
199,1
200,0
201,0
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,0
212,1
213,0
214,0
215,0
216,1
217,0
218,1
219,0
220,0
221,0
222,1
223,0
224,1
225,0
226,0
227,1
228,0
229,0
230,1
231,0
232,1
233,1
234,1
235,1
236,0
237,1
238,1
239,0
240,1
241,1
242,0
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,0
251,0
252,1
253,1
254,0
255,0
256,1
257,1
258,0
259,1
260,1
261,0
262,0
263,0
264,1
265,1
266,0
267,1
268,0
269,0
270,1
271,1
272,1
273,1
274,1
275,1
276,0
277,1
278,1
279,0
280,0
281,0
282,0
283,1
284,1
285,1
286,1
287,0
288,0
289,0
290,1
291,1
292,1
293,1
294,0
295,1
296,1
297,1
298,1
299,0
300,0
301,1
302,1
303,0
304,1
305,0
306,0
307,1
308,1
309,1
310,1
311,0
312,0
313,0
314,0
315,1
316,0
317,0
318,0
319,1
320,0
321,1
322,1
323,1
324,1
325,0
326,0
327,1
328,0
329,1
330,1
331,1
332,0
333,1
334,1
335,1
336,0
337,0
338,1
339,1
340,1
341,1
342,1
343,0
344,0
345,0
346,1
347,1
348,1
349,0
350,0
351,1
352,1
353,1
354,0
355,0
356,1
357,0
358,0
359,1
360,1
361,0
362,1
363,0
364,1
365,0
366,1
367,0
368,1
369,0
370,0
371,1
372,0
373,1
374,0
375,0
376,0
377,0
378,1
379,0
380,1
381,1
382,0
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,0
393,0
394,0
395,1
396,0
397,1
398,1
399,1
400,0
401,0
402,1
403,1
404,1
405,0
406,1
407,1
408,0
409,1
410,1
411,0
412,1
413,1
414,1
415,0
416,0
417,0
418,1
419,0
420,1
421,0
422,0
423,1
424,1
425,0
426,1
427,1
428,1
429,1
430,0
431,1
432,0
433,0
434,0
435,1
436,0
437,1
438,1
439,1
440,0
441,0
442,0
443,1
444,1
445,1
446,0
447,0
448,1
449,0
450,1
451,0
452,1
453,0
454,0
455,0
456,0
457,1
458,0
459,1
460,0
461,0
462,1
463,1
464,0
465,1
466,0
467,0
468,1
469,1
470,0
471,1
472,1
473,0
474,0
475,1
476,1
477,0
478,1
479,0
480,1
481,1
482,1
483,1
484,0
485,0
486,0
487,1
488,1
489,0
490,0
491,0
492,0
493,1
494,0
495,0
496,0
497,1
498,1
499,1
500,0
501,0
502,0
503,1
504,0
505,0
506,0
507,0
508,0
509,0
510,1
511,0
512,1
513,1
514,0
515,1
516,0
517,1
518,0
519,1
520,0
521,0
522,1
523,0
524,0
525,1
526,1
527,1
528,0
529,1
530,1
531,0
532,0
