,premise,hypothesis,label
0,<t> A man is passionately playing a guitar,One man is passionately playing the guitar </t>,entailment
1,<t> A man is performing a handstand on the beach,A handstand is being performed by a man on the beach </t>,entailment
2,<t> A man is playing the drums,The drums are being played by a man </t>,entailment
3,<t> A man in a suit is standing at a microphone and singing,The man on stage is singing into the microphone </t>,entailment
4,<t> A group of Asian girls are standing by themselves,A group of Asian girls are standing together </t>,entailment
5,<t> A man is standing still,A man is dancing </t>,neutral
6,<t> A football player in a purple jersey is running with the ball for a touchdown,A football player is running past an official carrying a football </t>,neutral
7,<t> A boy in his teens is talking to a girl with an internet camera,A boy in his teens is talking to a girl with a webcam </t>,entailment
8,<t> A man is shooting with a gun,A man is rowing a canoe </t>,neutral
9,<t> A child is swimming underwater in a pool,A child is swimming on the water's surface in a pool </t>,neutral
10,<t> A person is tearing sheets,A man is cutting a paper </t>,neutral
11,<t> One man is sitting steadily on the chair,One man is sitting on the chair </t>,entailment
12,<t> A costumed performer is singing and people are dancing,A clown is singing </t>,neutral
13,<t> The woman is dicing garlic,A woman is slicing garlic </t>,entailment
14,<t> A woman is painting a man's face,A man's face is being painted by a woman </t>,entailment
15,<t> A small monkey is walking through water,There is no monkey wading through a marsh </t>,neutral
16,<t> A boy is studying a calendar,A boy is staring at a calendar </t>,entailment
17,<t> A race car driver is standing up and is fiercely pointing his hand at the sky,A race car driver is standing up and pointing his hand at the sky </t>,entailment
18,<t> A fish is being sliced by a man,A cat is jumping into a box </t>,neutral
19,<t> People are sitting against a wall,Five adults are sitting on stone steps </t>,neutral
20,<t> A man is wearing a hard hat and dancing,A man with a hard hat is dancing </t>,entailment
21,<t> A monkey is kicking a person,A person is being kicked by a monkey </t>,entailment
22,<t> A boy is jumping off the side of a stone water fountain in front of a building,A boy in a striped shirt is jumping behind a water fountain </t>,neutral
23,<t> A young man in a white shirt and gold and black hat is sitting with crossed legs,A young person in a white shirt and gold and black hat is sitting with crossed legs </t>,entailment
24,<t> A man is playing a large flute,A large flute is being played by a man </t>,entailment
25,<t> The loud man is not allowed to play the guitar,A flute is being played by a man </t>,neutral
26,<t> A woman in a bikini is pulling a cat on a leash at the beach,A woman is standing at the beach with a dog on a leash </t>,neutral
27,<t> The man is operating a stenograph,A man is typing on a machine used for stenography </t>,entailment
28,<t> One man is turning on the microwave,A man is pushing the buttons of a microwave </t>,entailment
29,<t> Five kids are standing close together and none of the kids has a gun,Five children are standing in front of a wooden hut </t>,neutral
30,<t> A man is singing passionately,A man is singing </t>,entailment
31,<t> A man is running on the road,The man is running on the road </t>,entailment
32,"<t> A man with equipment used for climbing is hanging from a white, vertical rock.",A woman with pigtails is climbing a rock wall </t>,neutral
33,<t> A little girl and a woman wearing a yellow shirt are getting splashed by a city fountain,The young girl is playing on the edge of a fountain and an older woman is watching her </t>,neutral
34,<t> A dog is playing on the green grass,A brown and white cat is playing on the grass </t>,neutral
35,<t> A person in a pink jacket is running onto the field,A person in pink is running onto the field </t>,entailment
36,<t> A man is slicing a potato into pieces,A man is cutting a potato into pieces </t>,entailment
37,<t> A skateboarder is jumping in the air,A man in a red shirt is doing a trick with the skateboard </t>,neutral
38,<t> A man is playing the guitar,A woman is putting on lipstick </t>,neutral
39,<t> The south African plane is flying in a blue sky,An airplane is flying through the air </t>,entailment
40,<t> The black and white dog is running in a field,The black and white dog is running outdoors </t>,entailment
41,<t> A horse is being ridden in a creek by a man,The man is riding a horse by a creek </t>,entailment
42,<t> The man is playing a game on the grass,The rhino is grazing on the grass </t>,neutral
43,<t> A man is playing a wooden flute,A man is playing the piano </t>,neutral
44,<t> The man is riding a horse,A man is riding a horse </t>,entailment
45,<t> A cat is playing with a device,The boy is enthusiastically playing in the mud </t>,neutral
46,<t> Four people are walking on a bridge over a river,Four people are walking on a bridge over a body of water </t>,entailment
47,<t> The woman is playing with two young boys at a park,A woman is playing with two young boys at a park </t>,entailment
48,<t> A dog is jumping high into the air in the country,A dog is jumping on a trees in the shades </t>,neutral
49,"<t> The male, who is dark skinned, is standing on one hand in front of a yellow building",The dark skinned male is standing on one hand in front of a yellow building </t>,entailment
50,<t> The man is practicing the guitar,The person is practicing the guitar </t>,entailment
51,<t> Eggs are being boiled by a woman,A woman is placing two eggs into a pot of water </t>,neutral
52,<t> A woman is riding a horse,A woman is riding an animal </t>,entailment
53,<t> A white race car is driving through a puddle,A white racing vehicle is driving through a puddle </t>,entailment
54,<t> A woman is tapping her fingers on a table,A woman is tapping her fingers nervously </t>,neutral
55,<t> A dog in a colored coat is running swiftly across the yard,A dog in a colored coat is running across the yard </t>,entailment
56,<t> The chef is carefully pouring oil in the pan,A man is pouring liquid into a pot </t>,neutral
57,<t> A man is cutting a box,The man is cutting the tape on the box </t>,neutral
