premise,hypo,generated_hypo
Sweeney told Woodward that she and Ong were trying to relay as much information as they could to people on the ground. [EOS],Sweeney was trying to tell the people on the ground about what happened.,Sweeney told Woodward that she and Ong were trying to relay as much information. 
"Rounding a bend, with the sun now behind us, the show suddenly transforms to green moss, yellow sand, blue-green conifers. [EOS]","We now see green moss, yellow sand, and blue-green conifers as we round the bend.",The show changes color as we go around a bend. I'm seeing green
"The President told us his instinct was to project calm, not to have the country see an excited reaction at a moment of crisis. [EOS]",The President said the country shouldn't see an excited reaction during the crisis and that he would project calm.,The President told us that he wanted to project calmness. I'm not
I like working and making money. [EOS],Making money is something that I really like to do.,"I like working and making money.  I enjoy doing so, too! ."
"In other words, the savings created in throughput reduction in assembly were lost on the shipping dock. [EOS]",The shipping dock proved to be more of a cost than the savings created in other areas.,The savings created in throughput reduction were lost on the shipping dock. I'm
"What a pleasure, for example, to discover that one who has been tagged out at home plate is the victim of an  out-throw.  [EOS]",To discover that one who has been tagged out at home plate is the victim of an out-throw.,It is a pleasure to learn that someone who has been tagged out at home plate was
"Shortly thereafter, the passengers and flight crew began a series of calls from GTE airphones and cellular phones. [EOS]",The passengers and flight crew made phone calls.,The passengers and flight crew began a series of calls from GTE airphones. 
"Every time we stop I want you to get off and let whoever I'm letting on, in and then you get back in, sit on the step. [EOS]",I want you to get off at the next stop.,"I want you to get off and let whoever I'm letting on, in. "
"Well, who told you that story? [EOS]",Are you able to recall which person told you the story?,Who told you that story? . I'm curious who did it to tell
"crapulous, crapulent What this suggests would, of course, only occur to pre-pubescent boys and has nothing to do with the real meaning of drunkenness, overeating. [EOS]","Only young boys would think this, not those familiar with drunkenness and gluttony.",This suggests that pre-pubescent boys would only experience this.  and crap
"Uh, it's interesting how, uh, stories become so impressionable the younger the hearer. [EOS]","It's interesting how impressionable, young people are to stories.",It's interesting how stories become so impressionable when you're younger. I
"Based on our 1992 survey, we estimated lead times for two different   standard  lead times that represent performance for a typical product in the supplier's selection and  shortest  lead times that indicate a supplier's best practice. [EOS]",Our 1992 survey investigates production lead times.,Lead times for two different standard lead time were estimated based on our 1992 survey. 
" Oh, you want a cracker!  [EOS]",You would like a cracker!,You want a cracker! . I'm surprised you would do that?
I have nobody here to guide me. [EOS],"I don't have anyone to help me, here. ","I don't have anyone to guide me. Gathering my courage, I"
High demand variation similarly occurs during the beginning and end of a product life cycle. [EOS],The end of a product's life cycle can see high demand variation.,Demand variation occurs at the beginning and end of a product life cycle. angle
These advancements simply would not have been available without contributions from alumni and friends of the school. [EOS],The alumni and friends of the school contributed. ,Alumni and friends of the school contributed to these advancements. angleThe advancement
Ricky alternately named the numbers he recognized and counted items as they passed through the checkout. [EOS],Ricky counted items as they passed him.,Ricky counted items and named numbers as they passed through the checkout. I
" Afterwards, the Bishop walked among the crowds, eating their picnic lunches.  [EOS]",The crowds ate their picnic lunches.,The Bishop ate his picnic lunch. I'm eating my food now! I
"The next two chapters examine apparel operations, starting with a look at the use of information technologies and automation equipment in the preassembly stages of garment-making (Chapter 8) and then the sewing room (Chapter 9). [EOS]",Information technologies within the context of the preassembly stages of garment-making are examined in Chapter 8.,The sewing room is one of the topics examined in Chapter 9.  and analysis
