,premise,hypothesis,label
0,<t>  The supervisor instructed the controller to follow standard procedures for handling a no radio aircraft. </t> <g> ( <pointer:0> instruct-01 :ARG0 ( <pointer:1> person :ARG0-of ( <pointer:2> supervise-01 ) ) :ARG1 ( <pointer:3> person :ARG0-of ( <pointer:4> control-01 ) ) :ARG2 ( <pointer:5> follow-02 :ARG0 <pointer:3> :ARG1 ( <pointer:6> procedure :ARG1-of ( <pointer:7> standard-02 ) :topic ( <pointer:8> handle-01 :ARG1 ( <pointer:9> aircraft :ARG0-of ( <pointer:10> radio-01 :polarity - ) ) ) ) ) )  , ( <pointer:0> tell-01 :ARG0 ( <pointer:1> person :ARG0-of ( <pointer:2> supervise-01 ) ) :ARG1 ( <pointer:3> follow-02 :ARG0 <pointer:9> :ARG1 ( <pointer:4> procedure :ARG1-of ( <pointer:5> standard-02 ) :purpose ( <pointer:6> handle-01 :ARG1 ( <pointer:7> aircraft :ARG0-of ( <pointer:8> radio-01 :polarity - ) ) ) ) ) :ARG2 ( <pointer:9> person :ARG0-of ( <pointer:10> control-01 ) ) ) </g> </g> <t> The supervisor told the controller to follow standard procedures for handling a no radio aircraft.</t>,0
1,"<t>  When I found out that the infant mortality rate in Indiana was 86 percent greater than for mothers in Sweden, I was shocked. </t> <g> ( <pointer:0> shock-01 :ARG1 ( <pointer:1> i ) :time ( <pointer:2> find-out-03 :ARG0 <pointer:1> :ARG1 ( <pointer:3> have-degree-91 :ARG1 ( <pointer:4> rate :mod ( <pointer:5> die-01 :ARG1 ( <pointer:6> infant ) ) :location ( <pointer:7> state :wiki <lit> Indiana </lit> :name ( <pointer:8> name :op1 <lit> Indiana </lit> ) ) ) :ARG2 ( <pointer:9> great ) :ARG3 ( <pointer:10> more :quant ( <pointer:11> percentage-entity :value 86 ) ) :ARG4 ( <pointer:12> rate :mod <pointer:5> :location ( <pointer:13> mother :location ( <pointer:14> country :wiki <lit> Sweden </lit> :name ( <pointer:15> name :op1 <lit> Sweden </lit> ) ) ) ) ) ) )  ", ( <pointer:0> shock-01 :ARG0 ( <pointer:1> learn-01 :ARG0 <pointer:9> :ARG1 ( <pointer:2> high-02 :ARG1 ( <pointer:3> rate :mod ( <pointer:4> die-01 :ARG1 ( <pointer:5> infant ) ) :location ( <pointer:6> state :wiki <lit> Indiana </lit> :name ( <pointer:7> name :op1 <lit> Indiana </lit> ) ) ) :ARG2-of ( <pointer:8> have-degree-91 :ARG1 <pointer:3> :ARG3 ( <pointer:9> more ) :ARG4 ( <pointer:10> country :wiki <lit> Sweden </lit> :name ( <pointer:11> name :op1 <lit> Sweden </lit> ) ) ) ) ) :ARG1 ( <pointer:12> i ) ) </g> </g> <t> I was shocked to learn that the infant mortality rate in Indiana is higher than Sweden.</t>,0
2,"<t>  Thus the evidence at the RHD offices indicated the need for reinforcement of the notion of maleness associated with the word, not, as M and S suggest, a trend toward epicenism. </t> <g> ( <pointer:0> infer-01 :ARG1 ( <pointer:1> indicate-01 :ARG0 ( <pointer:2> thing :ARG0-of ( <pointer:3> evidence-01 ) :location ( <pointer:4> office :mod ( <pointer:5> research-institute :wiki - :name ( <pointer:6> name :op1 <lit> RHD </lit> ) ) ) ) :ARG1 ( <pointer:7> need-01 :ARG1 ( <pointer:8> reinforce-01 :ARG1 ( <pointer:9> notion :topic ( <pointer:10> maleness :ARG1-of ( <pointer:11> associate-01 :ARG2 ( <pointer:12> word ) ) ) ) :ARG1-of ( <pointer:13> contrast-01 :ARG2 ( <pointer:14> trend-01 :polarity - :ARG2 ( <pointer:15> epicenism ) :ARG1-of ( <pointer:16> suggest-01 :ARG0 ( <pointer:17> and :op1 ( <pointer:18> person :wiki - :name ( <pointer:19> name :op1 <lit> M </lit> ) ) :op2 ( <pointer:20> person :wiki - :name ( <pointer:21> name :op1 <lit> S </lit> ) ) ) ) ) ) ) ) ) )  ", ( <pointer:0> indicate-01 :ARG0 ( <pointer:1> thing :ARG0-of ( <pointer:2> evidence-01 ) :location ( <pointer:3> office :mod ( <pointer:4> organization :wiki - :name ( <pointer:5> name :op1 <lit> RHD </lit> ) ) ) ) :ARG1 ( <pointer:6> need-01 :ARG1 ( <pointer:7> reinforce-01 :ARG1 ( <pointer:8> maleness ) ) ) ) </g> </g> <t> The evidence at the RHD offices indicated that reinforcement of maleness was needed.</t>,1
3,"<t>  So what is the explanation of the phrase cold enough to freeze the balls off a brass monkey ?  Well, the obvious one, I believe. </t> <g> ( <pointer:0> multi-sentence :snt1 ( <pointer:1> explain-01 :ARG1 ( <pointer:2> phrase-01 ) :ARG2 ( <pointer:3> amr-unknown :ARG1-of ( <pointer:4> have-degree-91 :ARG2 ( <pointer:5> cold-01 ) :ARG3 ( <pointer:6> enough ) :ARG6 ( <pointer:7> freeze-01 :ARG1 ( <pointer:8> ball :part-of ( <pointer:9> monkey :mod ( <pointer:10> brass ) ) ) ) ) ) ) :snt2 ( <pointer:11> believe-01 :ARG0 ( <pointer:12> i ) :ARG1 ( <pointer:13> one :ARG1-of ( <pointer:14> obvious-01 ) :domain ( <pointer:15> amr-unknown ) ) ) )  ", ( <pointer:0> believe-01 :ARG0 ( <pointer:1> i ) :ARG1 ( <pointer:2> explain-01 :ARG2 ( <pointer:3> phrase-01 :ARG2 ( <pointer:4> have-degree-91 :ARG2 ( <pointer:5> cold-01 ) :ARG3 ( <pointer:6> enough ) :ARG6 ( <pointer:7> freeze-01 :ARG1 ( <pointer:8> monkey :mod ( <pointer:9> brass ) ) ) ) ) :ARG1-of ( <pointer:10> obvious-01 ) ) ) </g> </g> <t> I believe the phrase cold enough to freeze a brass monkey is an obvious explanation.</t>,1
4,<t>  Parental oversight and involvement in children's TV viewing are essential for two reasons. </t> <g> ( <pointer:0> essential :domain ( <pointer:1> and :op1 ( <pointer:2> oversee-01 :ARG0 ( <pointer:3> person :ARG0-of ( <pointer:4> have-rel-role-91 :ARG2 ( <pointer:5> parent ) ) ) :ARG1 ( <pointer:6> view-01 :ARG0 ( <pointer:7> child ) :ARG1 ( <pointer:8> television ) ) ) :op2 ( <pointer:9> involve-01 :ARG1 <pointer:3> :ARG2 <pointer:6> ) ) :ARG1-of ( <pointer:10> cause-01 :ARG0 ( <pointer:11> reason :quant 2 ) ) )  , ( <pointer:0> essential :domain ( <pointer:1> and :op1 ( <pointer:2> oversee-01 :ARG0 ( <pointer:3> person :ARG0-of ( <pointer:4> have-rel-role-91 :ARG2 ( <pointer:5> parent ) ) ) :ARG1 ( <pointer:6> view-01 :ARG0 ( <pointer:7> child ) :ARG1 ( <pointer:8> television ) ) ) :op2 ( <pointer:9> involve-01 :ARG1 <pointer:3> :ARG2 <pointer:6> ) ) :ARG1-of ( <pointer:10> cause-01 :ARG0 ( <pointer:11> reason :quant 2 ) ) ) </g> </g> <t> Parental oversight and involvement in children's TV viewing is essential for two reasons.</t>,0
5,"<t>  At 9:24, Ballinger's warning to United 93 was received in the cockpit. </t> <g> ( <pointer:0> receive-01 :ARG1 ( <pointer:1> warn-01 :ARG0 ( <pointer:2> person :wiki - :name ( <pointer:3> name :op1 <lit> Ballinger </lit> ) ) :ARG2 ( <pointer:4> company :wiki <lit> United Airlines </lit> :name ( <pointer:5> name :op1 <lit> United </lit> :op2 93 ) ) ) :location ( <pointer:6> cockpit ) :time ( <pointer:7> date-entity :time <lit> 9:24 </lit> ) )  ", ( <pointer:0> receive-01 :ARG1 ( <pointer:1> warn-01 :ARG0 ( <pointer:2> person :wiki - :name ( <pointer:3> name :op1 <lit> Ballinger </lit> ) ) :ARG2 ( <pointer:4> company :wiki <lit> United Airlines </lit> :name ( <pointer:5> name :op1 <lit> United </lit> :op2 93 ) ) ) :location ( <pointer:6> cockpit ) :time ( <pointer:7> date-entity :time <lit> 9:24 </lit> ) ) </g> </g> <t> Ballinger's warning to United 93 was received in the cockpit at 9:24.</t>,0
6,"<t>  Pursuant to the Nunn-Lugar-Domenici Domestic Preparedness Program, the Defense Department began in 1997 to train first responders in 120 of the nation's largest cities. </t> <g> ( <pointer:0> begin-01 :ARG0 ( <pointer:1> government-organization :wiki <lit> United States Department of Defense </lit> :name ( <pointer:2> name :op1 <lit> Defense </lit> :op2 <lit> Department </lit> ) ) :ARG1 ( <pointer:3> train-01 :ARG0 <pointer:1> :ARG1 ( <pointer:4> person :ARG0-of ( <pointer:5> respond-01 :ord ( <pointer:6> ordinal-entity :value 1 ) ) ) :location ( <pointer:7> city :quant 120 :ARG1-of ( <pointer:8> include-91 :ARG2 ( <pointer:9> city :ARG1-of ( <pointer:10> have-degree-91 :ARG2 ( <pointer:11> large ) :ARG3 ( <pointer:12> most ) :ARG5 ( <pointer:13> city :location ( <pointer:14> nation ) ) ) ) ) ) ) :time ( <pointer:15> date-entity :year 1997 ) :ARG1-of ( <pointer:16> conform-01 :ARG2 ( <pointer:17> program :wiki - :name ( <pointer:18> name :op1 <lit> Nunn-Lugar-Domenici </lit> :op2 <lit> Domestic </lit> :op3 <lit> Preparedness </lit> :op4 <lit> Program </lit> ) ) ) )  ", ( <pointer:0> begin-01 :ARG0 ( <pointer:1> government-organization :wiki <lit> United States Department of Defense </lit> :name ( <pointer:2> name :op1 <lit> Defense </lit> :op2 <lit> Department </lit> ) ) :ARG1 ( <pointer:3> train-01 :ARG0 <pointer:1> :ARG1 ( <pointer:4> person :ARG0-of ( <pointer:5> respond-01 :ord ( <pointer:6> ordinal-entity :value 1 ) ) ) :location ( <pointer:7> city :quant 120 :ARG1-of ( <pointer:8> include-91 :ARG2 ( <pointer:9> city :ARG1-of ( <pointer:10> have-degree-91 :ARG2 ( <pointer:11> large ) :ARG3 ( <pointer:12> most ) :ARG5 ( <pointer:13> nation ) ) ) ) ) ) ) </g> </g> <t> The Defense Department began training first responders in 120 of the nation's largest cities.</t>,0
7,<t>  The new world of rapid replenishment implies additional capabilities for both the retailer and manufacturer. </t> <g> ( <pointer:0> imply-01 :ARG0 ( <pointer:1> world :mod ( <pointer:2> replenish-01 :manner ( <pointer:3> rapid ) ) :ARG1-of ( <pointer:4> new-01 ) ) :ARG1 ( <pointer:5> capable-01 :ARG1 ( <pointer:6> and :op1 ( <pointer:7> person :ARG0-of ( <pointer:8> retail-01 ) ) :op2 ( <pointer:9> company :ARG0-of ( <pointer:10> manufacture-01 ) ) :mod ( <pointer:11> both ) ) :mod ( <pointer:12> additional ) ) )  , ( <pointer:0> imply-01 :ARG0 ( <pointer:1> world :mod ( <pointer:2> replenish-01 :manner ( <pointer:3> rapid ) ) :ARG1-of ( <pointer:4> new-01 ) ) :ARG1 ( <pointer:5> capable-01 :ARG1 ( <pointer:6> and :op1 ( <pointer:7> person :ARG0-of ( <pointer:8> retail-01 ) ) :op2 ( <pointer:9> company :ARG0-of ( <pointer:10> manufacture-01 ) ) :mod ( <pointer:11> both ) ) :mod ( <pointer:12> additional ) ) ) </g> </g> <t> The new world of rapid replenishment implies additional capabilities for both the retailer and manufacturer.</t>,0
8,"<t>  Girl Scouting's many friends who have been the recipients of good wishes, we have enhanced our facilities and programs to increase the joy that Girl Scouting brings to all girls. </t> <g> ( <pointer:0> enhance-01 :ARG0 ( <pointer:1> we ) :ARG1 ( <pointer:2> and :op1 ( <pointer:3> facility ) :op2 ( <pointer:4> program ) :poss <pointer:1> ) :purpose ( <pointer:5> increase-01 :ARG0 <pointer:1> :ARG1 ( <pointer:6> joy :ARG1-of ( <pointer:7> bring-01 :ARG0 ( <pointer:8> organization :wiki <lit> Girl Scouts of the United States </lit> :name ( <pointer:9> name :op1 <lit> Girl </lit> :op2 <lit> Scouting </lit> ) ) :ARG2 ( <pointer:10> girl :mod ( <pointer:11> all ) ) ) ) ) :ARG1-of ( <pointer:12> cause-01 :ARG0 ( <pointer:13> person :ARG0-of ( <pointer:14> receive-01 :ARG1 ( <pointer:15> wish-01 :ARG1-of ( <pointer:16> good-02 ) ) ) :ARG0-of ( <pointer:17> have-rel-role-91 :ARG1 <pointer:8> :ARG2 ( <pointer:18> friend ) ) :quant ( <pointer:19> many ) ) ) )  ", ( <pointer:0> improve-01 :ARG0 ( <pointer:1> we ) :ARG1 ( <pointer:2> and :op1 ( <pointer:3> facility ) :op2 ( <pointer:4> program ) :poss <pointer:1> ) :purpose ( <pointer:5> increase-01 :ARG0 <pointer:1> :ARG1 ( <pointer:6> joy :ARG1-of ( <pointer:7> bring-01 :ARG0 ( <pointer:8> organization :wiki <lit> Girl Scouts of the United States </lit> :name ( <pointer:9> name :op1 <lit> Girl </lit> :op2 <lit> Scouts </lit> ) ) ) ) ) ) </g> </g> <t> We have improved our facilities and programs to increase the joy that Girl Scouting brings.</t>,0
9,"<t>  We have relied on a mix of common sense, the sound of the name in Arabic, and common usage in source materials, the press, or government documents. </t> <g> ( <pointer:0> rely-01 :ARG0 ( <pointer:1> we ) :ARG1 ( <pointer:2> mix-01 :ARG1 ( <pointer:3> sense-02 :mod ( <pointer:4> common ) ) :ARG2 ( <pointer:5> and :op1 ( <pointer:6> sound-01 :ARG1 ( <pointer:7> name ) :ARG3 ( <pointer:8> language :wiki <lit> Arabic </lit> :name ( <pointer:9> name :op1 <lit> Arabic </lit> ) ) ) :op2 ( <pointer:10> use-01 :ARG1 <pointer:7> :location ( <pointer:11> or :op1 ( <pointer:12> material :mod ( <pointer:13> source ) ) :op2 ( <pointer:14> press ) :op3 ( <pointer:15> document :mod ( <pointer:16> government-organization :ARG0-of ( <pointer:17> govern-01 ) ) ) ) :mod ( <pointer:18> common ) ) ) ) )  "," ( <pointer:0> rely-01 :ARG0 ( <pointer:1> we ) :ARG1 ( <pointer:2> mix-01 :ARG1 ( <pointer:3> sense-02 :mod ( <pointer:4> common ) ) :ARG2 ( <pointer:5> and :op1 ( <pointer:6> sound-02 :ARG3 ( <pointer:7> language :wiki <lit> Arabic </lit> :name ( <pointer:8> name :op1 <lit> Arabic </lit> ) ) ) :op2 ( <pointer:9> use-01 ) ) ) ) </g> </g> <t> We have relied on a mix of common sense, the sound in Arabic and usage.</t>",0
