premise,hypo,generated_hypo
"<t> For example, one writer cites a preference for cunt over vagina , because of the latter's derivation from a Latin word meaning `sheath,' often sheath for a sword.) </t> <g> ( <pointer:0> contrast-01 :ARG2 ( <pointer:1> run-01 :polarity - :ARG1 ( <pointer:2> world ) :purpose ( <pointer:3> edify-01 :ARG0 ( <pointer:4> person :ARG0-of ( <pointer:5> tour-01 ) ) :ARG1 <pointer:2> ) ) )  </g> [EOS]",The term vagina is derived from Latin.," One writer says that cunt is better than vagina. , a preference for"
"<t> After bloody struggles, the Sunni became (and remain) the majority sect. </t> <g> ( <pointer:0> multi-sentence :snt1 ( <pointer:1> possible-01 :ARG1 ( <pointer:2> see-01 :ARG1 ( <pointer:3> thing :ARG1-of ( <pointer:4> work-12 ) :quant ( <pointer:5> more ) ) :location ( <pointer:6> museum :ARG1-of ( <pointer:7> attach-01 :ARG2 ( <pointer:8> cathedral ) ) ) ) ) :snt2 ( <pointer:9> cost-01 :ARG1 ( <pointer:10> admit-02 ) :ARG2 ( <pointer:11> around :op1 ( <pointer:12> monetary-quantity :quant 100 :unit ( <pointer:13> penny ) ) ) ) )  </g> [EOS]",The Sunni were not the majority sect before violent conflict took place.," The Sunni became the majority sect after a struggle. , when bloody struggles"
<t> The killers were assumed to be rival Egyptians. </t> <g> ( <pointer:0> multi-sentence :snt1 ( <pointer:1> do-02 :ARG0 ( <pointer:2> they ) :ARG1 ( <pointer:3> job :ARG1-of ( <pointer:4> good-02 :degree ( <pointer:5> really ) ) ) :ARG2 ( <pointer:6> inform-01 :ARG0 <pointer:2> :ARG1 ( <pointer:7> everybody ) :ARG2 ( <pointer:8> thing :ARG1-of ( <pointer:9> go-on-15 ) ) ) :mod ( <pointer:10> oh :mode expressive ) :mod ( <pointer:11> right ) ) :snt2 ( <pointer:12> wonder-01 :ARG0 ( <pointer:13> i ) :ARG1 ( <pointer:14> truth-value :polarity-of ( <pointer:15> have-quant-91 :polarity - :ARG1 ( <pointer:16> it ) :ARG3 ( <pointer:17> more :mod ( <pointer:18> almost ) ) :ARG4 ( <pointer:19> need-01 :ARG0 ( <pointer:20> we ) :ARG1 ( <pointer:21> know-01 :ARG0 <pointer:20> :ARG1 <pointer:16> ) ) ) ) :frequency ( <pointer:22> sometimes ) ) )  </g> [EOS],Rival Egyptians were assumed to be the culprits behind the killings.," The killers were thought to be Egyptians. , when they killed them it"
<t> We all realize how the availability or lack of comfortable seating and conference space made it possible for us to socialize or to get help in a course giving us difficulty. </t> <g> ( <pointer:0> another :location-of ( <pointer:1> possible-01 :ARG1 ( <pointer:2> charter-01 :ARG0 ( <pointer:3> you ) :ARG1 ( <pointer:4> yacht ) :mod ( <pointer:5> also ) ) ) :domain ( <pointer:6> city :wiki <lit> Mar del Rey </lit> :name ( <pointer:7> name :op1 <lit> Marina </lit> :op2 <lit> del </lit> :op3 <lit> Rey </lit> ) ) )  </g> [EOS],Having comfortable seating and conference space made it easier to socialize or get help with a difficult course., We all realize how the availability or lack of comfortable seating and conference space made it possible
<t> None is the combined Old English ne `not' + on `one. </t> <g> ( <pointer:0> build-01 :location ( <pointer:1> facility :wiki <lit> 715 Egyptian Wells </lit> :name ( <pointer:2> name :op1 <lit> A.D. </lit> ) ) :purpose ( <pointer:3> help-01 :ARG0 <pointer:0> :ARG1 ( <pointer:4> measure-01 :ARG1 ( <pointer:5> and :op1 ( <pointer:6> peak-01 :ARG1 ( <pointer:7> flood-01 :ARG1 ( <pointer:8> river :wiki <lit> Nile </lit> :name ( <pointer:9> name :op1 <lit> Nile </lit> ) ) ) ) :op2 ( <pointer:10> trough-01 :ARG1 <pointer:7> ) ) ) ) )  </g> [EOS],None is compounded by two Old English words, None is the combined Old English ne . (what's a word that
"<t> In some developing countries, workers are brought to the factories, which are generally located at the outer reaches of the local industrial infrastructure. </t> <g> ( <pointer:0> find-01 :ARG0 ( <pointer:1> person :ARG0-of ( <pointer:2> research-01 ) ) :ARG1 ( <pointer:3> stress-02 :ARG1-of ( <pointer:4> expect-01 ) :example ( <pointer:5> and :op1 ( <pointer:6> lose-02 :ARG1 ( <pointer:7> check :location ( <pointer:8> mail ) ) ) :op2 ( <pointer:9> ill-01 :ARG1 ( <pointer:10> one :ARG1-of ( <pointer:11> love-01 ) ) ) ) ) )  </g> [EOS]","In some countries, employees are shuttled to the production plants which are usually located far from the local industrial base."," In some developing countries, workers are brought to the factories. ...what"
"<t> Some, like French, Spanish, Italian, and Portuguese, had more in common with one another than they did with, say, German, English, Swedish, Danish, and Dutch, which, in turn, bore only a remote resemblance to Russian and Polish, on the one hand, and the two extant varieties of, say, Gaelic, on the other. </t> <g> ( <pointer:0> and :op2 ( <pointer:1> broadcast-program :wiki <lit> National Invitation Tournament </lit> :name ( <pointer:2> name :op1 <lit> NIT </lit> ) :mod ( <pointer:3> semifinal ) :time ( <pointer:4> date-entity :dayperiod ( <pointer:5> night ) :mod ( <pointer:6> today ) ) ) )  </g> [EOS]","Romance languages bear similarities to one another, but they differ from English and German.", Some languages had more in common with one another than they did. ...
<t> Met my first girlfriend that way. </t> <g> ( <pointer:0> multi-sentence :snt1 ( <pointer:1> think-01 :ARG0 ( <pointer:2> i ) :ARG1 ( <pointer:3> and :op1 ( <pointer:4> resemble-01 :ARG1 ( <pointer:5> it ) :ARG2 ( <pointer:6> mass-quantity :quant 3.5 :unit ( <pointer:7> pound ) ) :mod ( <pointer:8> only ) ) :op2 ( <pointer:9> big :domain <pointer:5> :beneficiary <pointer:2> ) ) :mod ( <pointer:10> oh-my-god :mode expressive ) ) :snt2 ( <pointer:11> cause-01 :ARG0 ( <pointer:12> catch-01 :polarity - :ARG0 <pointer:2> :ARG1 ( <pointer:13> anything :mod ( <pointer:14> big :degree ( <pointer:15> really ) ) ) :time ( <pointer:16> ever ) ) :ARG1 ( <pointer:17> say-01 :ARG0 <pointer:2> :ARG1 ( <pointer:18> love-01 :ARG0 <pointer:2> :ARG1 ( <pointer:19> go-02 :ARG0 <pointer:2> :ARG1 ( <pointer:20> fish-01 :ARG0 <pointer:2> ) ) ) ) ) :snt3 ( <pointer:21> cause-01 :ARG0 ( <pointer:22> and :op1 ( <pointer:23> be-located-at-91 :ARG1 ( <pointer:24> it ) :ARG2 ( <pointer:25> lake ) :time ( <pointer:26> always ) ) :op2 ( <pointer:27> know-01 :ARG0 <pointer:2> :ARG1 ( <pointer:28> have-03 :ARG0 ( <pointer:29> they ) :ARG1 ( <pointer:30> fish :ARG1-of ( <pointer:31> have-degree-91 :ARG2 ( <pointer:32> big ) :ARG3 ( <pointer:33> more ) :ARG4 <pointer:24> ) ) ) ) ) :ARG1 ( <pointer:34> and :op1 ( <pointer:35> have-quant-91 :ARG1 <pointer:24> :ARG2 ( <pointer:36> mass-quantity :quant 3.5 :unit ( <pointer:37> pound ) ) :ARG3 ( <pointer:38> equal ) :ARG4 ( <pointer:39> you ) ) :op2 ( <pointer:40> huge :domain <pointer:24> :beneficiary <pointer:2> ) ) ) )  </g> [EOS],I had a girlfriend., I met my first girlfriend that way. ...what's the name of
"<t> Southern manufacturers had already adopted steam engines for textile production, along with newer and more productive technology. </t> <g> ( <pointer:0> plan-01 :ARG0 ( <pointer:1> city ) :ARG1 ( <pointer:2> build-01 :ARG0 <pointer:1> :ARG1 ( <pointer:3> and :op1 ( <pointer:4> center :mod ( <pointer:5> community ) :beneficiary ( <pointer:6> location :wiki - :name ( <pointer:7> name :op1 <lit> Lincoln </lit> :op2 <lit> Place </lit> ) ) ) :op2 ( <pointer:8> station :mod ( <pointer:9> fire ) :time ( <pointer:10> future ) ) ) :location ( <pointer:11> site ) ) )  </g> [EOS]",Southern manufacturers had adopted steam engines for textile production and newer more productive technology.," Southern manufacturers had already adopted steam engines for textile production.  Also, newer"
<t> I feel like it's that way everywhere. </t> <g> ( <pointer:0> do-02 :ARG0 ( <pointer:1> person :ARG0-of ( <pointer:2> have-org-role-91 :ARG2 ( <pointer:3> executive ) ) ) :ARG1 ( <pointer:4> so ) :manner ( <pointer:5> and :op1 ( <pointer:6> examine-01 :ARG0 <pointer:1> :ARG1 ( <pointer:7> environment :ARG1-of ( <pointer:8> internal-02 :ARG2 <pointer:1> ) ) ) :op2 ( <pointer:9> ask-01 :ARG0 <pointer:1> :ARG1 ( <pointer:10> question-01 :ARG0 <pointer:1> :ARG1 ( <pointer:11> and :op1 ( <pointer:12> problem :ARG1-of ( <pointer:13> fix-02 :ARG1-of ( <pointer:14> need-01 ) ) ) :op2 ( <pointer:15> thing :manner-of ( <pointer:16> possible-01 :ARG1 ( <pointer:17> help-01 :ARG0 ( <pointer:18> and :op1 ( <pointer:19> technology :mod ( <pointer:20> information ) ) :op2 ( <pointer:21> manage-01 ) ) ) ) ) :op3 ( <pointer:22> thing :manner-of ( <pointer:23> possible-01 :ARG1 ( <pointer:24> fit-06 :ARG1 ( <pointer:25> person :ARG0-of ( <pointer:26> have-org-role-91 :ARG2 ( <pointer:27> officer :mod ( <pointer:28> chief ) :mod ( <pointer:29> executive ) ) ) ) :ARG2 ( <pointer:30> structure :mod <pointer:21> ) :purpose ( <pointer:31> guide-01 :ARG0 <pointer:25> :ARG1 ( <pointer:32> solution :mod ( <pointer:33> technology ) ) ) :ARG1-of ( <pointer:34> have-degree-91 :ARG2 ( <pointer:35> good-02 :ARG1 <pointer:30> ) :ARG3 ( <pointer:36> most ) ) ) ) ) ) :quant ( <pointer:37> series ) ) ) ) )  </g> [EOS],"It's the same way, everywhere.", It seems like it's that way everywhere. ...what i'm trying
