premise,hypo,generated_hypo
<t>  We serve a classic Tuscan meal that includes a Florentine terrine made with dick and chicken livers.</t> [EOS],We serve a meal of Florentine terrine.,The Tuscan meal includes a Florentine terrine made with dick and chicken l
"<t> I was on this earth you know, I've lived on this earth for some reason, I just don't know what it is yet.</t> [EOS]",I don't yet know the reason why I have lived on earth. ,I have lived on this earth for some reason.  (a)
"<t> for `family hold back,' an exhortation ensuring ample provender for guests.</t> [EOS]","'family hold back,' an emphatic command to guarantee enough food for visitors.",Family hold back is an exhortation.  ( z6) )
"<t> The other name, native well is, as a later explorer David Carnegie, author of Spinifex and Sand (1898), points out, a misnomer.</t> [EOS]","The alternative name, resulting from a translation, was a misnomer according to the explorer David Carnegie.",David Carnegie wrote Spinifex and Sand in 1898.  the other
"<t> If a hijack was confirmed, procedures called for the hijack coordinator on duty to contact the Pentagon's National Military Command Center (NMCC) and to ask for a military escort aircraft to follow the flight, report anything unusual, and aid search and rescue in the event of an emergency.</t> [EOS]",Once a hijacking is confirmed the Pentagon's National Military Command Center (NMCC) is supposed to be notified so they can order a military escort aircraft to follow the flight and report on anything suspicious.,The hijack coordinator was supposed to contact the Pentagon's National Military Command Center.
<t> The simplest is for one or more of the members to simply donate one million dollars to the IGGS Scholarship Fund.</t> [EOS],The simplest is for one million dollars to be donated by one of the members to the IGGS Scholarship Fund. ,The IGGS Scholarship Fund is funded by members.  the simplest of
"<t> Regardless of where Quick Response has succeeded, however, our research indicates that very different time-based competitive demands have emerged in the industry, driven not by voluntary acceptance of policies but by the changing nature of market competition among retailers.</t> [EOS]",Market competition has caused new competitive demands.,Our research shows that the industry has changed. ? because of market competition
"<t> In this period, a number of key technological changes  sewing machines that made many more stitches a minute, long knives instead of shears for cutting, and pressing machines.</t> [EOS]","In this period, various key innovative changes, sewing machines that made numerous more lines a moment, long blades rather than shears for cutting, and squeezing machines.",There were a number of technological changes during this period.  ( partisans
<t> Carnegie also describes namma-holes and soaks as sources of water.</t> [EOS],Gnamma-holes and soaks were described by Carnegie.,Carnegie describes namma-holes and soaks as sources of water.
<t>  From Home Work to Modern Manufacture</t> [EOS],Modern manufacturing has changed over time.,From home work to modern manufacturing  the following. The above is a recipe
"<t> Here, the object of play is the written form of the answer, or, more precisely, the letters of which that form consists.</t> [EOS]",In this situation the object is in the written form. ,"The answer is written in letters.  the context of play here, as"
"<t> When we consider how much the set is on during school holidays and summer vacations, children spend more time watching TV than they do in any other waking activity, including going to school and interacting with family members or peers.</t> [EOS]",TV is king when it comes to how children spend their time. ,Children spend more time watching TV during school holidays than any other waking activity. 
<t> The employers in the stable shops with employees whom they were anxious to keep suffered as much as we did because the union was weak.</t> [EOS],Even those employees with strong union representation suffered because their employers were anxious to keep them.,The employers in the stable shops suffered as much because of weak unions. 
<t> The law school is limited in these recessionary times because it's impractical to raise tuition significantly to gain the difference from lost state appropriations.</t> [EOS],The law school is limited in during these times due to the recession.,The law school is limited in these recessionary times because it's impractical to raise tuition
"<t> Indeed, no clear dividing line exists between prereading and reading.</t> [EOS]",There is no obvious difference between prereading and reading.,There is no clear dividing line between prereading and reading.  the following
<t> The supervisor instructed the controller to follow standard procedures for handling a no radio aircraft.</t> [EOS],Standard procedures were followed for an aircraft with no radio.,The supervisor told the controller to follow standard procedures for handling a no radio aircraft.
<t> It just kind a fills it out a little bit makes it a little easier on the ear especially if they can't sing but.</t> [EOS],It makes it more pleasant to listen to.,"It fills it out.  the simplest of terms, but also makes them easier"
"<t> As with many new technologies that have developed since the 1970s, adoption of innovative equipment is still occurring in fits and starts and depends on a given firm's size and mix of products.</t> [EOS]",A firm's size and product variety will depend on whether or not they adopt innovative equipment.,The adoption of innovative equipment is still occurring in fits and starts.  the
