premise,hypo,generated_hypo
 We serve a classic Tuscan meal that includes a Florentine terrine made with dick and chicken livers. [EOS],We serve a meal of Florentine terrine.,We serve a Tuscan meal that includes Florentine terrine. PH
"I was on this earth you know, I've lived on this earth for some reason, I just don't know what it is yet. [EOS]",I don't yet know the reason why I have lived on earth. ,I've been here for a while. phobicCommentscomments I don't
"for `family hold back,' an exhortation ensuring ample provender for guests. [EOS]","'family hold back,' an emphatic command to guarantee enough food for visitors.",Family hold back is an exhortation to ensure ample food for guests. 
"The other name, native well is, as a later explorer David Carnegie, author of Spinifex and Sand (1898), points out, a misnomer. [EOS]","The alternative name, resulting from a translation, was a misnomer according to the explorer David Carnegie.",David Carnegie wrote Spinifex and Sand. PHOTO of native well is
"If a hijack was confirmed, procedures called for the hijack coordinator on duty to contact the Pentagon's National Military Command Center (NMCC) and to ask for a military escort aircraft to follow the flight, report anything unusual, and aid search and rescue in the event of an emergency. [EOS]",Once a hijacking is confirmed the Pentagon's National Military Command Center (NMCC) is supposed to be notified so they can order a military escort aircraft to follow the flight and report on anything suspicious.,The hijack coordinator on duty was required to contact the Pentagon's National Military Command Center
The simplest is for one or more of the members to simply donate one million dollars to the IGGS Scholarship Fund. [EOS],The simplest is for one million dollars to be donated by one of the members to the IGGS Scholarship Fund. ,One million dollars can be donated to the IGGS Scholarship Fund. PH
"Regardless of where Quick Response has succeeded, however, our research indicates that very different time-based competitive demands have emerged in the industry, driven not by voluntary acceptance of policies but by the changing nature of market competition among retailers. [EOS]",Market competition has caused new competitive demands.,Our research shows that the industry has changed. PHOTO: Quick Response's
"In this period, a number of key technological changes  sewing machines that made many more stitches a minute, long knives instead of shears for cutting, and pressing machines. [EOS]","In this period, various key innovative changes, sewing machines that made numerous more lines a moment, long blades rather than shears for cutting, and squeezing machines.",There were a number of technological changes in this period. Phases that made
Carnegie also describes namma-holes and soaks as sources of water. [EOS],Gnamma-holes and soaks were described by Carnegie.,Carnegie describes namma-holes and soaks as sources of water. 
 From Home Work to Modern Manufacture [EOS],Modern manufacturing has changed over time.,From home work to modern manufacturing. phileAdvertisementscomments about the product of
"Here, the object of play is the written form of the answer, or, more precisely, the letters of which that form consists. [EOS]",In this situation the object is in the written form. ,The written form of the answer is what play focuses on. PHOTO OF
"When we consider how much the set is on during school holidays and summer vacations, children spend more time watching TV than they do in any other waking activity, including going to school and interacting with family members or peers. [EOS]",TV is king when it comes to how children spend their time. ,Children watch more TV during school holidays than any other activity. PHILOS
The employers in the stable shops with employees whom they were anxious to keep suffered as much as we did because the union was weak. [EOS],Even those employees with strong union representation suffered because their employers were anxious to keep them.,The union was weak. PHILOSOPHYWe suffered as much because
The law school is limited in these recessionary times because it's impractical to raise tuition significantly to gain the difference from lost state appropriations. [EOS],The law school is limited in during these times due to the recession.,The law school is limited in these recessionary times because it's impractical to raise tuition
"Indeed, no clear dividing line exists between prereading and reading. [EOS]",There is no obvious difference between prereading and reading.,There is no clear dividing line between prereading and reading. PHILOS
The supervisor instructed the controller to follow standard procedures for handling a no radio aircraft. [EOS],Standard procedures were followed for an aircraft with no radio.,The supervisor told the controller to follow standard procedures for handling a no radio aircraft. 
It just kind a fills it out a little bit makes it a little easier on the ear especially if they can't sing but. [EOS],It makes it more pleasant to listen to.,It makes it easier on the ear if they can't sing. PHOTO
"As with many new technologies that have developed since the 1970s, adoption of innovative equipment is still occurring in fits and starts and depends on a given firm's size and mix of products. [EOS]",A firm's size and product variety will depend on whether or not they adopt innovative equipment.,Adoption of innovative equipment is still occurring in fits and starts. PHOTO
"At 9:03, United 175 crashed into the South Tower. [EOS]",United 175 crashed into the South Tower at 9:03.,United 175 crashed into the South Tower at 9:03. ficiality
Please renew your commitment today. [EOS],A renewal of commitment is required today,Please renew your commitment today. phoenixAdvertisementscommentsand more to come...
Each prospective and current program is evaluated on the basis of its support of one or more aspects of women's needs. [EOS],Every program is judged on how well it helps women.,Each prospective and current program is evaluated on the basis of its support for one or more
So what has changed the prognosis for American apparel and textiles and provided new opportunities for these industries? [EOS],There are now more opportunities in the apparel and textile industries in America.,What has changed the outlook for American apparel and textiles? PHOTO:
" Got him just out of 9,500-9,000 now. [EOS]",We got him out of that 9500-9000 range.,"He is just out of 9,500-9000 now. PHOTO"
Appreciate it. [EOS],Thank you.,Appreciate it. phobicComments and thoughts on this topic are available
"He views either of them as the instrument, the bond, of his not being able to pass on the crown to a successor of his choosing (or of his subsequent begetting). [EOS]",He cannot pass the klngship onto someone else.,"He views either of them as the instrument, bond and reason for not being able to"
Something to that effect. [EOS],That's approximately what it means. ,Something to that effect. factoryAdvertisementscomments are closed for the time being
"The story disclosed that adults realize a long service is hard for a small boy to sit through, but exercising self-restraint and participating in communal rituals bring praise and acceptance from the community. [EOS]","According to the story, adult's do realize that a small boy will find a long service difficult to sit through.",A long service is hard for a small boy to sit through. PHIL
