,premise,hypothesis,label
0,<t> A man is passionately playing a guitar,One man is passionately playing the guitar </t>,0
1,<t> A man is performing a handstand on the beach,A handstand is being performed by a man on the beach </t>,0
2,<t> A man is playing the drums,The drums are being played by a man </t>,0
3,<t> A man in a suit is standing at a microphone and singing,The man on stage is singing into the microphone </t>,0
4,<t> A group of Asian girls are standing by themselves,A group of Asian girls are standing together </t>,0
5,<t> A man is standing still,A man is dancing </t>,1
6,<t> A football player in a purple jersey is running with the ball for a touchdown,A football player is running past an official carrying a football </t>,1
7,<t> A boy in his teens is talking to a girl with an internet camera,A boy in his teens is talking to a girl with a webcam </t>,0
8,<t> A man is shooting with a gun,A man is rowing a canoe </t>,1
9,<t> A child is swimming underwater in a pool,A child is swimming on the water's surface in a pool </t>,1
10,<t> A person is tearing sheets,A man is cutting a paper </t>,1
11,<t> One man is sitting steadily on the chair,One man is sitting on the chair </t>,0
12,<t> A costumed performer is singing and people are dancing,A clown is singing </t>,1
13,<t> The woman is dicing garlic,A woman is slicing garlic </t>,0
14,<t> A woman is painting a man's face,A man's face is being painted by a woman </t>,0
15,<t> A small monkey is walking through water,There is no monkey wading through a marsh </t>,1
16,<t> A boy is studying a calendar,A boy is staring at a calendar </t>,0
17,<t> A race car driver is standing up and is fiercely pointing his hand at the sky,A race car driver is standing up and pointing his hand at the sky </t>,0
18,<t> A fish is being sliced by a man,A cat is jumping into a box </t>,1
19,<t> People are sitting against a wall,Five adults are sitting on stone steps </t>,1
20,<t> A man is wearing a hard hat and dancing,A man with a hard hat is dancing </t>,0
21,<t> A monkey is kicking a person,A person is being kicked by a monkey </t>,0
22,<t> A boy is jumping off the side of a stone water fountain in front of a building,A boy in a striped shirt is jumping behind a water fountain </t>,1
23,<t> A young man in a white shirt and gold and black hat is sitting with crossed legs,A young person in a white shirt and gold and black hat is sitting with crossed legs </t>,0
24,<t> A man is playing a large flute,A large flute is being played by a man </t>,0
25,<t> The loud man is not allowed to play the guitar,A flute is being played by a man </t>,1
26,<t> A woman in a bikini is pulling a cat on a leash at the beach,A woman is standing at the beach with a dog on a leash </t>,1
27,<t> The man is operating a stenograph,A man is typing on a machine used for stenography </t>,0
28,<t> One man is turning on the microwave,A man is pushing the buttons of a microwave </t>,0
29,<t> Five kids are standing close together and none of the kids has a gun,Five children are standing in front of a wooden hut </t>,1
30,<t> A man is singing passionately,A man is singing </t>,0
31,<t> A man is running on the road,The man is running on the road </t>,0
32,"<t> A man with equipment used for climbing is hanging from a white, vertical rock.",A woman with pigtails is climbing a rock wall </t>,1
33,<t> A little girl and a woman wearing a yellow shirt are getting splashed by a city fountain,The young girl is playing on the edge of a fountain and an older woman is watching her </t>,1
34,<t> A dog is playing on the green grass,A brown and white cat is playing on the grass </t>,1
35,<t> A person in a pink jacket is running onto the field,A person in pink is running onto the field </t>,0
36,<t> A man is slicing a potato into pieces,A man is cutting a potato into pieces </t>,0
37,<t> A skateboarder is jumping in the air,A man in a red shirt is doing a trick with the skateboard </t>,1
38,<t> A man is playing the guitar,A woman is putting on lipstick </t>,1
39,<t> The south African plane is flying in a blue sky,An airplane is flying through the air </t>,0
40,<t> The black and white dog is running in a field,The black and white dog is running outdoors </t>,0
41,<t> A horse is being ridden in a creek by a man,The man is riding a horse by a creek </t>,0
42,<t> The man is playing a game on the grass,The rhino is grazing on the grass </t>,1
43,<t> A man is playing a wooden flute,A man is playing the piano </t>,1
44,<t> The man is riding a horse,A man is riding a horse </t>,0
45,<t> A cat is playing with a device,The boy is enthusiastically playing in the mud </t>,1
46,<t> Four people are walking on a bridge over a river,Four people are walking on a bridge over a body of water </t>,0
47,<t> The woman is playing with two young boys at a park,A woman is playing with two young boys at a park </t>,0
48,<t> A dog is jumping high into the air in the country,A dog is jumping on a trees in the shades </t>,1
49,"<t> The male, who is dark skinned, is standing on one hand in front of a yellow building",The dark skinned male is standing on one hand in front of a yellow building </t>,0
50,<t> The man is practicing the guitar,The person is practicing the guitar </t>,0
51,<t> Eggs are being boiled by a woman,A woman is placing two eggs into a pot of water </t>,1
52,<t> A woman is riding a horse,A woman is riding an animal </t>,0
53,<t> A white race car is driving through a puddle,A white racing vehicle is driving through a puddle </t>,0
54,<t> A woman is tapping her fingers on a table,A woman is tapping her fingers nervously </t>,1
55,<t> A dog in a colored coat is running swiftly across the yard,A dog in a colored coat is running across the yard </t>,0
56,<t> The chef is carefully pouring oil in the pan,A man is pouring liquid into a pot </t>,1
57,<t> A man is cutting a box,The man is cutting the tape on the box </t>,1
58,<t> A man is walking a woman through the woods,The man and woman are walking </t>,0
59,<t> A black dog with a red collar is amusedly putting its face in the water,A black dog is standing in shallow water </t>,1
60,<t> A skateboarder is doing tricks on a half pipe,A man is skateboarding on a half pipe </t>,0
61,<t> A keyboard is being played by a man,A man is playing a keyboard </t>,0
62,<t> Someone is stirring a pot of chili with a spoon,Someone is stirring chili in a pot </t>,0
63,<t> A dog is running on the sand and chasing a ball,A brown and white dog is catching a dirty tennis ball in a dirt field </t>,1
64,<t> A karate practitioner is kicking at another man who is wearing protective boxing gloves,A karate practitioner is kicking at another man who is wearing protective gloves for boxing </t>,0
65,<t> Four people are performing music outdoors,Four people are silently standing outdoors </t>,1
66,<t> A man and a woman are hiking through a wooded area,A man and a woman are walking through a wooded area </t>,0
67,<t> A man is getting into a car in a garage,A man is getting off the car </t>,1
68,<t> Two young kids are eating corndogs,Two young children are eating corndogs </t>,0
69,<t> The guitar is being played by a kid,A kid is playing the guitar </t>,0
70,<t> A man is naked and is lying in the field,A man is wearing a sports uniform and is running down the field </t>,1
71,<t> A man is slicing a fish,A fish is being cut by a man </t>,0
72,<t> A man is sprinkling shredded cheese on a pizza,A man is putting seasoning on a pizza </t>,1
73,<t> A potato is being peeled by a woman,A woman is peeling a potato </t>,0
74,<t> One man is dancing,A man is dancing </t>,0
75,"<t> A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling","A lady of young age, with light brown hair, is wearing a red necklace, a sweatshirt and earrings and is smiling </t>",0
76,<t> A man is riding an electric bicycle,A person is riding an electric bicycle </t>,0
77,<t> A dog is pushing a toddler into a rain puddle,A dog is pushing a toddler into a puddle of rain </t>,0
