,label
0,1
1,0
2,1
3,1
4,0
5,1
6,1
7,0
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,0
19,1
20,1
21,1
22,1
23,1
24,0
25,0
26,0
27,1
28,1
29,0
30,1
31,1
32,1
33,0
34,0
35,1
36,0
37,0
38,0
39,1
40,0
41,0
42,0
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,0
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,0
66,1
67,1
68,1
69,1
70,1
71,0
72,1
73,1
74,0
75,1
76,1
77,0
78,1
79,1
80,0
81,0
82,0
83,1
84,0
85,1
86,1
87,0
88,1
89,1
90,1
91,1
92,2
93,0
94,0
95,1
96,0
97,1
98,1
99,1
100,0
101,1
102,0
103,1
104,1
105,1
106,1
107,0
108,0
109,0
110,0
111,1
112,0
113,1
114,1
115,1
116,0
117,1
118,1
119,1
120,1
121,1
122,1
123,0
124,1
125,0
126,1
127,0
128,1
129,0
130,1
131,1
132,0
133,0
134,1
135,1
136,1
137,1
138,1
139,1
140,0
141,0
142,0
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,0
151,0
152,0
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,1
161,1
162,0
163,0
164,1
165,0
166,1
167,1
168,1
169,1
170,1
171,1
172,0
173,1
174,1
175,1
176,1
177,1
178,1
179,0
180,1
181,0
182,0
183,0
184,1
185,1
186,1
187,0
188,0
189,1
190,0
191,0
192,1
193,0
194,1
195,0
196,1
197,0
198,1
199,1
200,1
201,0
202,0
203,0
204,0
205,0
206,1
207,0
208,1
209,0
210,1
211,1
212,0
213,1
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,1
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,1
233,1
234,0
235,0
236,0
237,0
238,0
239,0
240,1
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,1
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,1
265,0
266,1
267,0
268,1
269,0
270,1
271,0
272,1
273,0
274,0
275,0
276,1
277,1
278,1
279,0
280,1
281,1
282,1
283,0
284,1
285,0
286,0
287,1
288,0
289,0
290,1
291,0
292,0
293,1
294,1
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,1
306,1
307,0
308,0
309,1
310,0
311,0
312,0
313,1
314,1
315,0
316,0
317,1
318,0
319,1
320,1
321,0
322,1
323,0
324,0
325,1
326,0
327,1
328,1
329,1
330,0
331,1
332,1
333,0
334,0
335,0
336,0
337,0
338,2
339,0
340,1
341,0
342,0
343,0
344,1
345,1
346,0
347,0
348,0
349,0
350,0
351,0
352,1
353,0
354,0
355,0
356,0
357,0
358,0
359,2
360,1
361,1
362,0
363,0
364,0
365,1
366,1
367,0
368,0
369,1
370,0
371,1
372,0
373,0
374,0
375,0
376,0
377,0
378,1
379,1
380,0
381,0
382,0
383,1
384,1
385,0
386,1
387,1
388,0
389,1
390,0
391,0
392,0
393,1
394,0
395,1
396,1
397,1
398,1
399,1
400,0
401,0
402,1
403,1
404,1
405,1
406,1
407,0
408,0
409,1
410,0
411,0
412,0
413,1
414,0
415,1
416,1
417,0
418,1
419,1
420,1
421,1
422,0
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,0
436,1
437,0
438,0
439,0
440,1
441,1
442,1
443,0
444,1
445,1
446,0
447,1
448,1
449,1
450,1
451,0
452,0
453,0
454,1
455,0
456,1
457,1
458,0
459,0
460,1
461,1
462,0
463,1
464,1
465,1
466,0
467,1
468,1
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,1
477,0
478,1
479,1
480,1
481,0
482,1
483,0
484,1
485,1
486,1
487,1
488,1
489,1
490,0
491,1
492,1
493,1
494,1
495,1
496,0
497,0
498,1
499,0
500,1
501,0
502,1
503,0
504,1
505,1
506,0
507,0
508,1
509,1
510,1
511,0
512,0
513,0
514,1
515,0
516,0
517,0
518,0
519,1
520,1
521,0
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,0
533,0
534,0
535,0
536,1
537,1
538,0
539,0
540,0
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,0
549,0
550,0
551,1
552,1
553,0
554,0
555,1
556,1
557,0
558,1
559,1
560,0
561,1
562,1
563,1
564,1
565,1
566,0
567,1
568,1
569,1
570,1
571,1
572,1
573,0
574,1
575,1
576,1
577,1
578,0
579,0
580,1
581,1
582,1
583,1
584,0
585,0
586,1
587,1
588,0
589,1
590,1
591,1
592,1
593,1
594,1
595,0
596,0
597,1
598,1
599,1
600,0
601,1
602,0
603,1
604,0
605,1
606,1
607,0
608,1
609,1
610,1
611,1
612,1
613,0
614,1
615,1
616,1
617,1
618,0
619,1
620,0
621,1
622,1
623,1
624,1
625,1
626,0
627,1
628,0
629,1
630,1
631,1
632,0
633,0
634,0
635,1
636,0
637,0
638,0
639,1
640,1
641,0
642,0
643,0
644,0
645,1
646,1
647,0
648,0
649,0
650,0
651,0
652,0
653,1
654,1
655,0
656,0
657,1
658,1
659,1
660,0
661,0
662,0
663,1
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,1
672,1
673,0
674,1
675,1
676,0
677,0
678,0
679,1
680,1
681,1
682,0
683,1
684,1
685,0
686,1
687,1
688,1
689,1
690,1
691,1
692,0
693,1
694,1
695,1
696,1
697,1
698,0
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,1
707,0
708,1
709,1
710,0
711,0
712,0
713,1
714,1
715,1
716,1
717,1
718,0
719,0
720,0
721,1
722,1
723,0
724,0
725,1
726,0
727,0
728,1
729,0
730,1
731,1
732,1
733,1
734,1
735,0
736,1
737,0
738,0
739,1
740,1
741,1
742,1
743,1
744,0
745,0
746,1
747,1
748,0
749,1
750,1
751,1
752,1
753,0
754,1
755,0
756,0
757,1
758,0
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,0
768,1
769,1
770,1
771,1
772,0
773,0
774,1
775,0
776,0
777,1
778,1
779,0
780,1
781,1
782,1
783,1
784,1
785,1
786,0
787,0
788,1
789,1
790,1
791,1
792,1
793,1
794,1
795,1
796,1
797,0
798,1
799,1
800,1
801,0
802,1
803,1
804,0
805,0
806,1
807,1
808,1
809,1
810,0
811,1
812,1
813,1
814,1
815,0
816,0
817,2
818,1
819,1
820,1
821,1
822,0
823,1
824,1
825,0
826,1
827,1
828,1
829,1
830,1
831,0
832,1
833,0
834,1
835,0
836,1
837,1
838,1
839,1
840,0
841,0
842,0
843,1
844,1
845,1
846,1
847,1
848,0
849,1
850,1
851,1
852,0
853,0
854,1
855,1
856,1
857,1
858,1
859,1
860,0
861,0
862,0
863,1
864,1
865,0
866,1
867,1
868,0
869,1
870,1
871,0
872,0
873,1
874,1
875,0
876,0
877,1
878,0
879,0
880,0
881,1
882,0
883,0
884,0
885,0
886,1
887,0
888,0
889,1
890,1
891,0
892,0
893,0
894,1
895,1
896,0
897,0
898,1
899,0
900,1
901,1
902,0
903,1
904,0
905,1
906,0
907,1
908,0
909,0
910,1
911,0
912,0
913,0
914,1
915,0
916,0
917,1
918,0
919,0
920,1
921,1
922,0
923,1
924,1
925,0
926,0
927,1
928,0
929,1
930,0
931,0
932,0
933,0
934,0
935,0
936,1
937,0
938,1
939,0
940,0
941,1
942,0
943,0
944,1
945,0
946,0
947,0
948,0
949,0
950,1
951,0
952,1
953,0
954,0
955,0
956,0
957,0
958,1
959,1
960,1
961,1
962,0
963,0
964,0
965,0
966,1
967,0
968,1
969,1
970,0
971,2
972,1
973,1
974,1
975,1
976,1
977,0
978,0
979,0
980,0
981,1
982,1
983,0
984,0
985,0
986,0
987,1
988,0
989,0
990,0
991,1
992,1
993,1
994,1
995,1
996,1
997,0
998,1
999,1
1000,0
1001,1
1002,1
1003,0
1004,0
1005,0
1006,1
1007,1
1008,1
1009,0
1010,0
1011,1
1012,1
1013,1
1014,1
1015,0
1016,1
1017,1
1018,1
1019,0
1020,0
1021,0
1022,0
1023,1
1024,1
1025,1
1026,0
1027,1
1028,1
1029,1
1030,1
1031,0
1032,0
1033,1
1034,0
1035,1
1036,0
1037,0
1038,0
1039,1
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,1
1047,0
1048,1
1049,1
1050,1
1051,1
1052,1
1053,0
1054,1
1055,1
1056,0
1057,1
1058,1
1059,0
1060,1
1061,0
1062,1
1063,1
1064,0
1065,0
1066,0
1067,0
1068,0
1069,1
1070,0
1071,1
1072,0
1073,1
1074,1
1075,0
1076,0
1077,1
1078,0
1079,1
1080,0
1081,1
1082,1
1083,0
1084,0
1085,1
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,1
1093,1
1094,1
1095,1
1096,1
1097,1
1098,1
1099,1
1100,1
1101,1
1102,0
1103,1
1104,1
1105,0
1106,1
1107,1
1108,0
1109,0
1110,0
1111,1
1112,0
1113,1
1114,1
1115,0
1116,1
1117,1
1118,1
1119,1
1120,0
1121,0
1122,0
1123,1
1124,1
1125,0
1126,1
1127,1
1128,1
1129,1
1130,1
1131,1
1132,1
1133,1
1134,1
1135,0
1136,0
1137,1
1138,0
1139,1
1140,1
1141,1
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,0
1149,0
1150,1
1151,0
1152,1
1153,1
1154,0
1155,1
1156,0
1157,0
1158,1
1159,0
1160,0
1161,1
1162,1
1163,1
1164,1
1165,0
1166,1
1167,1
1168,1
1169,1
1170,0
1171,1
1172,0
1173,0
1174,0
1175,1
1176,1
1177,1
1178,0
1179,0
1180,0
1181,0
1182,1
1183,1
1184,1
1185,1
1186,1
1187,1
1188,1
1189,1
1190,1
1191,1
1192,1
1193,1
1194,1
1195,1
1196,1
1197,0
1198,1
1199,1
1200,1
1201,1
1202,1
1203,1
1204,1
1205,1
1206,1
1207,0
1208,0
1209,1
1210,1
1211,1
1212,1
1213,1
1214,0
1215,1
1216,0
1217,1
1218,1
1219,0
1220,1
1221,0
1222,1
1223,0
1224,1
1225,1
1226,0
1227,1
1228,1
1229,1
1230,0
