,premise,hypothesis,label
0,"Fearing that overdevelopment, as well as new trends and tastes in international tourism, would leave the Balearics behind, authorities have moved to protect remaining undeveloped areas as nature preserves, proclaiming them off-limits to all construction, and have even blown up some of the more unsightly hotel blemishes on the coasts.","Fearing that overdevelopment, as well as new trends and tastes in international tourism, would leave the balearics behind, authorities have protected remaining undeveloped areas as nature preserves, proclaiming them off-limits to all construction, and have even blown up some of the more unsightly hotel blemishes on the coasts.",1
1,Nike declined to be a sponsor.,Nike was a sponsor.,2
2,I intend to resume the habit as a delight of old age,I resume the habit as a delight of old.,1
3,Ashoka intended to use this power to control people.,Ashoka used this power to control people.,1
4,Yesterday I said that I intended to live by my wits.,Yesterday i said that i lived by my wits.,1
5,He had intended to find islands in the Caribbean.,He had found islands in the caribbean.,1
6,John intended to look through the desk first.,John looked through the desk first.,1
7,I intend to do the same for myself as well.,I do the same for myself as well.,1
8,Competition intended to increase quality.,Competition increased quality.,1
9,The man intended to shoot the rider. ,The man shot the rider.,1
10,People attempt to smooth their standard of living over time according to the life-cycle model of saving.,People smooth their standard of living over time according to the life-cycle model of saving.,1
11,There was nothing online that could be useful for organizations attempting to address improper payments.,There was nothing online that could be useful for organizations addressing improper payments.,1
12,"It's hard to imagine an aged person attempting to use this toothpaste in real life, said the manager.","It's hard to imagine an aged person using this toothpaste in real life, said the manager.",1
13,There are equally formidable obstacles when attempting to obtain funding from alcohol study sections.,There are equally formidable obstacles when obtaining funding from alcohol study sections.,1
14,"Had he attempted to take the brill back with him, he would be caught in the torrent for sure.","Had he taken the brill back with him, he would be caught in the torrent for sure.",1
15,"When he attempts to lampoon what he sees as a silly orthodoxy, he often just gets it wrong.","When he lampoons what he sees as a silly orthodoxy, he often just gets it wrong.",1
16,"Many attempt to submit without counsel or advice, and all fail due to this restriction. ","Many submit without counsel or advice, and all fail due to this restriction.",1
17,We attempted to build a world class finance organization without any vision or agenda.,We built a world class finance organization without any vision or agenda.,1
18,Big businesses have attempted to exploit the area's natural resources in the past.,Big businesses have exploited the area's natural resources in the past.,1
19,Several private sector and government executives attempted to hamper our project.,Several private sector and government executives hampered our project.,1
20,Anyone who attempts to enter after we have done so will be arrested immediately.,Anyone who enters after we have done so will be arrested immediately.,1
21,Britain first attempted to open trade with China in the 1400's and was accepted.,Britain first opened trade with china in the 1400's and was accepted.,1
22,Four agencies attempted to use information technologies to improve services.,Four agencies used information technologies to improve services.,1
23,Congress intended to restrict representation for aliens.,Congress restricted representation for aliens.,1
24,I started to slink away.,I slunk away.,0
25,He started to feel funny.,He felt funny.,0
26,We've got to find Tommy.,We've found tommy.,0
27,The worksharing programs have helped to make the process smoother.,The worksharing programs have made the process smoother.,0
28,The Washington based organization helped to overturn the practice.,The washington based organization overturned the practice.,0
29,They thought that the hedge funds helped to stabilize the crisis.,They thought that the hedge funds stabilized the crisis.,0
30,The plan has helped to make the employees more efficient. ,The plan has made the employees more efficient.,0
31,The companion rule helped to keep prices reasonable.,The companion rule kept prices reasonable.,0
32,Polish October helped to relax Communist controls.,Polish october relaxed communist controls.,0
33,Lighted panels help to illuminate the manuscript.,Lighted panels illuminate the manuscript.,0
34,I've got to say something.  ,I've said something ..,0
35,'You've got to be kidding.',` you've been kidding ..,0
36,I got to work early.,I worked early.,0
37,She started to walk away.,She walked away.,0
38,"In fact, I eventually started to like it.","In fact, i eventually liked it.",0
39,He started to travel west at daybreak.,He travelled west at daybreak.,0
40,At some point I started to like it.,At some point i liked it.,0
41,The thing started to grow brighter.,The thing grew brighter.,0
42,Drew started to consider his words.,Drew considered his words.,0
43,Everything started to look beige.,Everything looked beige.,0
44,We have attempted to make the hiring process more comprehensive than ever.,We have made the hiring process more comprehensive than ever.,1
45,The Post Office is forbidden from ever attempting to close any office.,The post office is forbidden from ever closing any office.,1
46,Adrin skipped the easier parries and attempted to put Jon off balance.,Adrin skipped the easier parries and put jon off balance.,1
47,They managed to bear the pain and stay conscious the whole time,They beared the pain and stay conscious the whole.,0
48,The tobacco industry managed to get a higher stock market evaluation.,The tobacco industry got a higher stock market evaluation.,0
49,He managed to cook a horse-stew that left Ca'daan stuffed like a pig.,He cooked a horse-stew that left ca ` daan stuffed like a pig.,0
50,They managed to sever his femoral artery and he died shortly after. ,They severed his femoral artery and he died shortly after.,0
51,Ovitz was a small time agent who barely managed to stay in business.,Ovitz was a small time agent who barely stayed in business.,0
52,Florida knew exactly how the contractor managed to keep a low price.,Florida knew exactly how the contractor kept a low price.,0
53,Muslims army managed to draw out the Soviet army from Afghanistan.,Muslims army drew out the soviet army from afghanistan.,0
54,Travel brochures have managed to make Mt. Fuji mundane and tacky.,Travel brochures have made mt. fuji mundane and tacky.,0
55,I managed to sneak one of the books I was studying back with me.,I snuck one of the books i was studying back with me.,0
56,"Later, Japan managed to overcome stagnation in just a few years.","Later, japan overcame stagnation in just a few years.",0
57,"He has managed to do so, at times through sheer force of will.","He has done so, at times through sheer force of will.",0
58, He managed to dig a small hollow in the sand before dropping off to sleep.,He dug a small hollow in the sand before dropping off to sleep.,0
59,It's hard to see how he managed to prove his story is true.,It's hard to see how he proved his story is true.,0
60,Pilsudski and his troops managed to hold back the Soviets.,Pilsudski and his troops held back the soviets.,0
61,I managed to pick-pocket someone next to the snack-stand.,I pick-pocketted someone next to the snack-stand.,0
62,They managed to reach a shrubbery close by without issue.,They reached a shrubbery close by without issue.,0
63,Titus managed to convert the entire area in record time.,Titus converted the entire area in record time.,0
64, She managed to avoid his lips and slid away from him.,She avoided his lips and slid away from him.,0
65,"Still, Miyajima manages to be both solemn and lively.","Still, miyajima is both solemn and lively.",0
66,"His face was sick, but he managed to grin at Hanson.","His face was sick, but he grinned at hanson.",0
67,The Moors managed to penetrate far north of Aveiro. ,The moors penetrated far north of aveiro.,0
68,Napoleon managed to defeat the Prussians thanks to his genius war ability.,Napoleon defeated the prussians thanks to his genius war ability.,0
69,"We've managed to get some testosterone from a blond homunculus, he reported.","We've gotten some testosterone from a blond homunculus, he reported.",0
70,"Robespierre attempted to quell the extremists, but was killed anyway.","Robespierre quelled the extremists, but was killed anyway.",1
71,He attempted to make his words casual.,He made his words casual.,1
72,Other countries attempted to get a mandate to administer Palestine.,Other countries got a mandate to administer palestine.,1
73,We attempted to perform activities from the Better Sex video.,We performed activities from the better sex video.,1
74,Each manager has attempted to make employees feel isolated.,Each manager has made employees feel isolated.,1
75,"His love unrequited, he attempted to think of other things.","His love unrequited, he thought of other things.",1
76,Their LiveTopics technology attempts to help you do this.,Their livetopics technology helps you do this.,1
77,The lawyer attempted to prove the impossible possible.,The lawyer proved the impossible possible.,1
78,That is the reason why we attempted to kill you.,That is the reason why we killed you.,1
79,A man attempted to kill Hitler with a bomb.,A man killed hitler with a bomb.,1
80,He attempted to overcome the sensation.,He overcame the sensation.,1
81,I attempted to back off.  ,I backed off.,1
82,The opponent managed to get back on his feet after rolling outside the blow.,The opponent got back on his feet after rolling outside the blow.,0
83,They seek to overcome the other using pure physical strength.,They overcome the other using pure physical strength.,1
84,It seeks to undermine the possibility of corrective action.,It undermines the possibility of corrective action.,1
85,The party sought to establish ties with the United States.,The party established ties with the united states.,1
86,WRAP seeks to reduce SO2 by 20% in the next twenty years.,Wrap reduces so2 by 20 % in the next twenty years.,1
87,State officials seek to improve the economy of the state.,State officials improve the economy of the state.,1
88,The new voices sought to replace the established order.,The new voices replaced the established order.,1
89,The commission seeks to fill gaps with minorities.,The commission fills gaps with minorities.,1
90,Beijing sought to create a good relationship.,Beijing created a good relationship.,1
91,Of course the governors and the president managed to turn deficits into surpluses.,Of course the governors and the president turned deficits into surpluses.,0
92,Ca'daan agreed to take it.,Ca ` daan took it.,1
93,She said she agreed to stop there.,She said she stopped there.,1
94,They've only agreed to keep talking.,They've only kept talking.,1
95,They expected to wait a while to learn more of the crooks.,They waited a while to learn more of the crooks.,1
96,She 'happened to be near the door'. ,She ` was near the door'.,1
97,Weld also has claimed to be a victim of Helms' ideological extortion.,Weld also has been a victim of helms' ideological extortion.,1
98,The Museum des Beaux-Arts claims to be the oldest museum in France.,The museum des beaux-arts is the oldest museum in france.,1
99,They said the hijackers wielded knives and claimed to have a bomb.,They said the hijackers wielded knives and had a bomb.,1
100,They claim to look instead at future cash flows to stockholders.,They look instead at future cash flows to stockholders.,1
101,Both the Post and ABC claim to have copies of the original TP.,Both the post and abc have copies of the original tp.,1
102,Clinton claims to have known nothing about the Chinese plans.,Clinton has known nothing about the chinese plans.,1
103,She claimed to have found her calling.,She had found her calling.,1
104,Legal service agencies expect to have increased funds next year.,Legal service agencies have increased funds next year.,1
105,Republicans expect to draw in black voter with the issue.,Republicans draw in black voter with the issue.,1
106,I happened to notice that it was bolted.,I noticed that it was bolted.,1
107,They expect to have more software development effort.,They have more software development effort.,1
108,I expect to be a huge success in the business world.,I am a huge success in the business world.,1
109,Holland expected to get a lot of money.,Holland got a lot of money.,1
110,It's expected to continue going on.,It's continued going on.,1
111,They wish to keep watch and Severn agreed to arm the miners.,They keep watch and severn agreed to arm the miners.,1
112,Police officers wish to present legally obtained evidence.,Police officers present legally obtained evidence.,1
113,Shane Massello wished to represent himself legally.,Shane massello represented himself legally.,1
114,Any dollar amount you wish to contribute is fine.,Any dollar amount you contribute is fine.,1
115,This is the only issue I wish to keep private.,This is the only issue i keep private.,1
116,"At that moment, I happened to look up.","At that moment, i looked up.",1
117,Because I happened to meet him this morning.,Because i met him this morning.,1
118,I wish to return to Marguerite.,I return to marguerite.,1
119,There is always a large crowd of people waiting to see the Angel's Pillar. ,There is always a large crowd of people seeing the angel's pillar.,1
120,The woman loved to spend time in a cabin in the woods.,The woman spent time in a cabin in the woods.,1
121,Drew loved to drink sherry more than any other drink.,Drew drank sherry more than any other drank.,1
122,Children love to dance to Michael Jackson Records. ,Children dance to michael jackson records.,1
123,The man loves to read the fruits of their minds. ,The man reads the fruits of their minds.,1
124,She really loved to eat at her Greek restaurant.,She really ate at her greek restaurant.,1
125,Everyone loves to be interrupted as they dine. ,Everyone is interrupted as they dine.,1
126,The captain loved to end wars.  ,The captain ended wars.,1
127,Julius loves to ask questions. ,Julius asks questions.,1
128,I love to read pure history.,I read pure history.,1
129,Some surmise that he's cleverly waiting to unveil his platform.,Some surmise that he's cleverly unveiling his platform.,1
130,He happened to have an old envelope and a pen in one of his pockets. ,He had an old envelope and a pen in one of his pockets.,1
131,That the captain was only waiting to make trouble for Rennie.,That the captain was only making trouble for rennie.,1
132,There is no one waiting to discuss things.,There is no one discussing things.,1
133,He is still waiting to do it.,He is still doing it.,1
134,GAO has a series of publications that work to define actions that can be taken to improve.,Gao has a series of publications that define actions that can be taken to improve.,1
135,Competing community groups worked to reach a consensus about the health study. ,Competing community groups reached a consensus about the health study.,1
136,30 people work to help account for inventory and related property.,30 people help account for inventory and related property.,1
137,The GAO works to improve government amongst other things.,The gao improves government amongst other things.,1
138,CDC works to investigate cancer rates across the country.,Cdc investigates cancer rates across the country.,1
139,We love working to improve legal services.,We love improving legal services.,1
140,You wish to believe he committed the crime. ,You believe he committed the crime.,1
141,He wished to be arrested. ,He was arrested.,1
142,LSNY agreed to keep the current members.,Lsny kept the current members.,1
143,"The croseis said to weigh 181,740 tons.","The croseis weighed 181,740 tons.",1
144,He definitely meant to give the name to Nevis.,He definitely gave the name to nevis.,1
145,Drew meant to take a long wash in the stream.,Drew took a long wash in the stream.,1
146,It's meant to be worn on your pinkie toe. ,It's been worn on your pinkie toe.,1
147," First, of course, he meant to stay here.","First, of course, he stayed here.",1
148,Dave meant to follow with a heavy hammer.,Dave followed with a heavy hammer.,1
149,We had meant to do this for a while.,We had done this for a while.,1
150,I meant to say Wong.,I said wong.,1
151,Mistuh Nye says to tell you he'll be back.,Mistuh nye tells you he'll be back.,1
152,He said to look on the piece of paper. ,He looked on the piece of paper.,1
153,My Dad said to get rid of them.,My dad got rid of them.,1
154,They prefer to have their own area of operation.,They have their own area of operation.,1
155,She said to come to the caves.,She came to the caves.,1
156,Jon said to stock the caves.,Jon stocked the caves.,1
