premise,hypo,generated_hypo
<t>  We serve a classic Tuscan meal that includes a Florentine terrine made with dick and chicken livers. </t> <g> ( <pointer:0> multi-sentence :snt1 ( <pointer:1> know-01 :polarity - :ARG0 ( <pointer:2> i ) ) :snt2 ( <pointer:3> have-03 :ARG0 <pointer:2> :ARG1 ( <pointer:4> emotion :ARG1-of ( <pointer:5> mix-01 ) :topic ( <pointer:6> he ) ) ) :snt3 ( <pointer:7> contrast-01 :ARG1 ( <pointer:8> like-01 :ARG0 ( <pointer:9> i ) :ARG1 ( <pointer:10> he ) :frequency ( <pointer:11> sometimes ) ) :ARG2 ( <pointer:12> love-01 :ARG0 <pointer:9> :ARG1 ( <pointer:13> see-01 :ARG0 <pointer:9> :ARG1 ( <pointer:14> beat-01 :ARG0 ( <pointer:15> somebody ) :ARG1 <pointer:10> ) ) :time ( <pointer:16> time :ARG1-of ( <pointer:17> same-01 ) ) ) ) )  </g> [EOS],We serve a meal of Florentine terrine.," The Tuscan meal includes Florentine terrine. , we serve"
"<t> I was on this earth you know, I've lived on this earth for some reason, I just don't know what it is yet. </t> <g> ( <pointer:0> and :op1 ( <pointer:1> know-01 :polarity - :ARG0 ( <pointer:2> i ) ) :op2 ( <pointer:3> do-02 :ARG0 ( <pointer:4> you ) :ARG1 ( <pointer:5> camp-02 :ARG0 <pointer:4> :quant ( <pointer:6> lot ) ) ) )  </g> [EOS]",I don't yet know the reason why I have lived on earth. ," I have lived on this earth for some reason. , and i don"
"<t> for `family hold back,' an exhortation ensuring ample provender for guests. </t> <g> ( <pointer:0> multi-sentence :snt1 ( <pointer:1> help-01 :ARG0 ( <pointer:2> that ) :mod ( <pointer:3> well :mode expressive ) ) :snt2 ( <pointer:4> wish-01 :ARG0 ( <pointer:5> i ) :ARG1 ( <pointer:6> do-02 :ARG0 ( <pointer:7> they ) :ARG1 ( <pointer:8> that ) :location ( <pointer:9> here ) ) ) :snt3 ( <pointer:10> have-03 :ARG0 ( <pointer:11> we ) :ARG1 ( <pointer:12> space :mod ( <pointer:13> landfill ) :ARG1-of ( <pointer:14> leave-17 ) :ARG1-of ( <pointer:15> have-quant-91 :ARG2 ( <pointer:16> little ) :ARG3 ( <pointer:17> so ) :ARG6 ( <pointer:18> and :op1 ( <pointer:19> run-out-05 :ARG1 <pointer:12> :time ( <pointer:20> before :op1 ( <pointer:21> end-01 :ARG1 ( <pointer:22> decade :mod ( <pointer:23> this ) ) ) ) ) :op2 ( <pointer:24> real-04 :ARG1 <pointer:19> ) ) ) ) ) )  </g> [EOS]","'family hold back,' an emphatic command to guarantee enough food for visitors.", Family hold back is an exhortation.  Sicilian for 'family
"<t> The other name, native well is, as a later explorer David Carnegie, author of Spinifex and Sand (1898), points out, a misnomer. </t> <g> ( <pointer:0> cause-01 :ARG1 ( <pointer:1> obligate-01 :ARG1 ( <pointer:2> i ) :ARG2 ( <pointer:3> find-01 :ARG0 <pointer:2> :ARG1 ( <pointer:4> way :manner-of ( <pointer:5> supplement-01 :ARG0 <pointer:2> :ARG1 ( <pointer:6> that ) ) ) ) ) )  </g> [EOS]","The alternative name, resulting from a translation, was a misnomer according to the explorer David Carnegie."," David Carnegie was an explorer.  The other name, native well is a mis"
"<t> If a hijack was confirmed, procedures called for the hijack coordinator on duty to contact the Pentagon's National Military Command Center (NMCC) and to ask for a military escort aircraft to follow the flight, report anything unusual, and aid search and rescue in the event of an emergency. </t> <g> ( <pointer:0> want-01 :ARG0 ( <pointer:1> you ) :ARG1 ( <pointer:2> and :op1 ( <pointer:3> punch-01 :ARG0 <pointer:1> :ARG1 ( <pointer:4> button ) ) :op2 ( <pointer:5> go-02 :ARG0 <pointer:1> ) ) )  </g> [EOS]",Once a hijacking is confirmed the Pentagon's National Military Command Center (NMCC) is supposed to be notified so they can order a military escort aircraft to follow the flight and report on anything suspicious., The hijack coordinator was on duty.  When a hijacked flight is confirmed
<t> The simplest is for one or more of the members to simply donate one million dollars to the IGGS Scholarship Fund. </t> <g> ( <pointer:0> say-01 :ARG0 ( <pointer:1> person :wiki - :name ( <pointer:2> name :op1 <lit> Blue </lit> ) ) :ARG1 ( <pointer:3> claim-01 :ARG0 ( <pointer:4> person :wiki <lit> Richard Blumenthal </lit> :name ( <pointer:5> name :op1 <lit> Blumenthal </lit> ) ) :ARG1 ( <pointer:6> tell-01 :ARG0 ( <pointer:7> person :wiki <lit> Bill Clinton </lit> :name ( <pointer:8> name :op1 <lit> Clinton </lit> ) ) :ARG1 ( <pointer:9> advance-01 :ARG1 ( <pointer:10> person :wiki <lit> Monica Lewinsky </lit> :name ( <pointer:11> name :op1 <lit> Lewinsky </lit> ) ) :ARG4 ( <pointer:12> sex-01 :ARG0 <pointer:10> :ARG1 <pointer:4> ) :ARG1-of ( <pointer:13> want-01 :polarity - :ARG0 <pointer:7> ) ) :ARG2 <pointer:4> ) ) )  </g> [EOS],The simplest is for one million dollars to be donated by one of the members to the IGGS Scholarship Fund. , One million dollars can be donated to the IGGS Scholarship Fund.  The
"<t> Regardless of where Quick Response has succeeded, however, our research indicates that very different time-based competitive demands have emerged in the industry, driven not by voluntary acceptance of policies but by the changing nature of market competition among retailers. </t> <g> ( <pointer:0> contrast-01 :ARG1 ( <pointer:1> sorry-01 ) :ARG2 ( <pointer:2> have-mod-91 :ARG1 ( <pointer:3> it ) :ARG2 ( <pointer:4> that ) ) )  </g> [EOS]",Market competition has caused new competitive demands.," Quick Response has succeeded. , our research indicates that very different time-"
"<t> In this period, a number of key technological changes  sewing machines that made many more stitches a minute, long knives instead of shears for cutting, and pressing machines. </t> <g> ( <pointer:0> contrast-01 :ARG1 ( <pointer:1> oppose-01 :polarity - :ARG0 ( <pointer:2> i ) :ARG1 ( <pointer:3> it ) ) :ARG2 ( <pointer:4> probable :domain ( <pointer:5> be-temporally-at-91 :ARG1 <pointer:3> :ARG2 ( <pointer:6> right-02 :ARG1 ( <pointer:7> time ) ) ) :mod ( <pointer:8> kind :mod ( <pointer:9> just ) ) ) :mod ( <pointer:10> know-06 :ARG0 ( <pointer:11> you ) ) )  </g> [EOS]","In this period, various key innovative changes, sewing machines that made numerous more lines a moment, long blades rather than shears for cutting, and squeezing machines."," sewing machines made more stitches. , a number of key technological changes occurred"
<t> Carnegie also describes namma-holes and soaks as sources of water. </t> <g> ( <pointer:0> and :op1 ( <pointer:1> difficult :domain ( <pointer:2> all ) ) :op2 ( <pointer:3> lazy :domain <pointer:2> ) :op3 ( <pointer:4> form :polarity - :mod ( <pointer:5> pathetic ) :time ( <pointer:6> youth ) ) :op4 ( <pointer:7> peg :ARG1-of ( <pointer:8> round-03 ) :location ( <pointer:9> hole :mod ( <pointer:10> square ) ) ) :op5 ( <pointer:11> whatever :ARG1-of ( <pointer:12> want-01 :ARG0 ( <pointer:13> you ) ) ) :ARG1-of ( <pointer:14> have-degree-91 :ARG2 ( <pointer:15> mortify-01 :ARG0 <pointer:0> ) :ARG3 ( <pointer:16> enough ) ) )  </g> [EOS],Gnamma-holes and soaks were described by Carnegie., Namma-holes and soaks are sources of water.  Carnegie also
<t>  From Home Work to Modern Manufacture </t> <g> ( <pointer:0> and :op1 ( <pointer:1> have-03 :ARG0 ( <pointer:2> he ) :ARG1 ( <pointer:3> mind :quant 2 ) ) :op2 ( <pointer:4> revel-01 :ARG0 <pointer:2> :ARG1 ( <pointer:5> peace :location ( <pointer:6> village :mod ( <pointer:7> this ) ) ) ) )  </g> [EOS],Modern manufacturing has changed over time., From home work to modern manufacturing .out of the ordinary! he revel
