,premise,hypothesis,label
0,<t> A man is passionately playing a guitar </t> <g> ( <pointer:0> play-11 :ARG0 ( <pointer:1> man ) :ARG1 ( <pointer:2> guitar ) :manner ( <pointer:3> passionate ) )  , ( <pointer:0> play-11 :ARG0 ( <pointer:1> man :quant 1 ) :ARG2 ( <pointer:2> guitar ) :manner ( <pointer:3> passionate ) ) </g>  <t> One man is passionately playing the guitar </t>,0
1,<t> A man is performing a handstand on the beach </t> <g> ( <pointer:0> perform-01 :ARG0 ( <pointer:1> man ) :ARG1 ( <pointer:2> handstand ) :location ( <pointer:3> beach ) )  , ( <pointer:0> perform-01 :ARG0 ( <pointer:1> man :location ( <pointer:2> beach ) ) :ARG1 ( <pointer:3> handstand ) ) </g>  <t> A handstand is being performed by a man on the beach </t>,0
2,<t> A man is playing the drums </t> <g> ( <pointer:0> play-11 :ARG0 ( <pointer:1> man ) :ARG1 ( <pointer:2> drum ) )  , ( <pointer:0> play-11 :ARG0 ( <pointer:1> man ) :ARG1 ( <pointer:2> drum ) ) </g>  <t> The drums are being played by a man </t>,0
3,<t> A man in a suit is standing at a microphone and singing </t> <g> ( <pointer:0> and :op1 ( <pointer:1> stand-01 :ARG1 ( <pointer:2> man :ARG0-of ( <pointer:3> wear-01 :ARG1 ( <pointer:4> suit ) ) ) :ARG2 ( <pointer:5> microphone ) ) :op2 ( <pointer:6> sing-01 :ARG0 <pointer:2> ) )  , ( <pointer:0> sing-01 :ARG0 ( <pointer:1> man :location ( <pointer:2> stage ) ) :medium ( <pointer:3> microphone ) ) </g>  <t> The man on stage is singing into the microphone </t>,0
4,<t> A group of Asian girls are standing by themselves </t> <g> ( <pointer:0> stand-01 :ARG1 ( <pointer:1> girl :quant ( <pointer:2> group ) :mod ( <pointer:3> continent :wiki <lit> Asia </lit> :name ( <pointer:4> name :op1 <lit> Asia </lit> ) ) ) :mod ( <pointer:5> by-oneself ) )  , ( <pointer:0> stand-01 :ARG1 ( <pointer:1> group :consist-of ( <pointer:2> girl :mod ( <pointer:3> continent :wiki <lit> Asia </lit> :name ( <pointer:4> name :op1 <lit> Asia </lit> ) ) ) ) :mod ( <pointer:5> together ) ) </g>  <t> A group of Asian girls are standing together </t>,0
5,<t> A man is standing still </t> <g> ( <pointer:0> stand-01 :ARG1 ( <pointer:1> man ) :mod ( <pointer:2> still ) )  , ( <pointer:0> dance-01 :ARG0 ( <pointer:1> man ) ) </g>  <t> A man is dancing </t>,1
6,<t> A football player in a purple jersey is running with the ball for a touchdown </t> <g> ( <pointer:0> run-02 :ARG0 ( <pointer:1> person :ARG0-of ( <pointer:2> play-01 :ARG1 ( <pointer:3> football ) ) :part ( <pointer:4> jersey :mod ( <pointer:5> purple ) ) ) : prep-with ( <pointer:6> ball ) :purpose ( <pointer:7> touchdown ) )  , ( <pointer:0> run-02 :ARG0 ( <pointer:1> person :ARG0-of ( <pointer:2> play-01 :ARG1 ( <pointer:3> football ) ) ) :path ( <pointer:4> past :op1 ( <pointer:5> person :ARG0-of ( <pointer:6> have-org-role-91 :ARG2 ( <pointer:7> official ) ) :ARG0-of ( <pointer:8> carry-01 :ARG1 <pointer:3> ) ) ) ) </g>  <t> A football player is running past an official carrying a football </t>,1
7,<t> A boy in his teens is talking to a girl with an internet camera </t> <g> ( <pointer:0> talk-01 :ARG0 ( <pointer:1> boy :age ( <pointer:2> between :op1 ( <pointer:3> temporal-quantity :quant 13 :unit ( <pointer:4> year ) ) :op2 ( <pointer:5> temporal-quantity :quant 19 :unit ( <pointer:6> year ) ) ) ) :ARG2 ( <pointer:7> girl :ARG0-of ( <pointer:8> have-03 :ARG1 ( <pointer:9> camera :mod ( <pointer:10> internet ) ) ) ) )  , ( <pointer:0> talk-01 :ARG0 ( <pointer:1> boy :age ( <pointer:2> between :op1 ( <pointer:3> temporal-quantity :quant 13 :unit ( <pointer:4> year ) ) :op2 ( <pointer:5> temporal-quantity :quant 19 :unit ( <pointer:6> year ) ) ) ) :ARG2 ( <pointer:7> girl :ARG0-of ( <pointer:8> have-03 :ARG1 ( <pointer:9> camera :mod ( <pointer:10> web ) ) ) ) ) </g>  <t> A boy in his teens is talking to a girl with a webcam </t>,0
8,<t> A man is shooting with a gun </t> <g> ( <pointer:0> shoot-02 :ARG0 ( <pointer:1> man ) :instrument ( <pointer:2> gun ) )  , ( <pointer:0> row-01 :ARG0 ( <pointer:1> man ) :ARG1 ( <pointer:2> canoe ) ) </g>  <t> A man is rowing a canoe </t>,1
9,<t> A child is swimming underwater in a pool </t> <g> ( <pointer:0> swim-01 :ARG0 ( <pointer:1> child ) :ARG1 ( <pointer:2> underwater :op1 ( <pointer:3> pool ) ) )  , ( <pointer:0> swim-01 :ARG0 ( <pointer:1> child ) :ARG1 ( <pointer:2> surface :part-of ( <pointer:3> water ) ) :location ( <pointer:4> pool ) ) </g>  <t> A child is swimming on the water's surface in a pool </t>,1
10,<t> A person is tearing sheets </t> <g> ( <pointer:0> tear-01 :ARG0 ( <pointer:1> person ) :ARG1 ( <pointer:2> sheet ) )  , ( <pointer:0> cut-01 :ARG0 ( <pointer:1> man ) :ARG1 ( <pointer:2> paper ) ) </g>  <t> A man is cutting a paper </t>,1
11,<t> One man is sitting steadily on the chair </t> <g> ( <pointer:0> sit-01 :ARG1 ( <pointer:1> man :quant 1 ) :ARG2 ( <pointer:2> chair ) :manner ( <pointer:3> steady ) )  , ( <pointer:0> sit-01 :ARG1 ( <pointer:1> man :quant 1 ) :ARG2 ( <pointer:2> chair ) ) </g>  <t> One man is sitting on the chair </t>,0
12,<t> A costumed performer is singing and people are dancing </t> <g> ( <pointer:0> and :op1 ( <pointer:1> sing-01 :ARG0 ( <pointer:2> person :ARG0-of ( <pointer:3> perform-01 ) :ARG1-of ( <pointer:4> costume-01 ) ) ) :op2 ( <pointer:5> dance-01 :ARG0 ( <pointer:6> person ) ) )  , ( <pointer:0> sing-01 :ARG0 ( <pointer:1> clown ) ) </g>  <t> A clown is singing </t>,1
13,<t> The woman is dicing garlic </t> <g> ( <pointer:0> divide-01 :ARG0 ( <pointer:1> woman ) :ARG1 ( <pointer:2> garlic ) )  , ( <pointer:0> slice-01 :ARG0 ( <pointer:1> woman ) :ARG1 ( <pointer:2> garlic ) ) </g>  <t> A woman is slicing garlic </t>,0
