Unnamed: 0,complete_signature,premise,hypothesis,label,signature
0,Entailment.Entailment.Entailment,<t> A man realizes that he is performing a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Plus
1,Entailment.Entailment.Entailment,<t> A man knows that he is performing a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Plus
2,Entailment.Entailment.Entailment,<t> A man remembers that he is performing a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Plus
3,Entailment.Entailment.Entailment,<t> A man notices that he is performing a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Plus
4,Entailment.Entailment.Entailment,<t> A man reveals that he is performing a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Plus
5,Entailment.Entailment.Entailment,<t> A man finds that he is performing a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Plus
6,Entailment.Entailment.Entailment,<t> A man admits that he is performing a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Plus
7,Entailment.Entailment.Entailment,<t> A man observes that he is performing a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Plus
8,Entailment.Entailment.Entailment,<t> A man sees that he is performing a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Plus
9,Entailment.Entailment.Entailment,<t> A man learns that he is performing a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Plus
10,Entailment.Entailment.Entailment,<t> A man acknowledges that he is performing a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Plus
11,Entailment.Entailment.Entailment,<t> A man understands that he is performing a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Plus
12,Entailment.Entailment.Entailment,<t> A man notes that he is performing a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Plus
13,Entailment.Entailment.Entailment,<t> A man recognizes that he is performing a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Plus
14,Entailment.Entailment.Entailment,<t> A man discovers that he is performing a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Plus
15,Entailment.Entailment.Entailment,<t> A man manages to perform a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Minus
16,Entailment.Entailment.Entailment,<t> A man begins to perform a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Minus
17,Entailment.Entailment.Entailment,<t> A man starts to perform a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Minus
18,Entailment.Entailment.Entailment,<t> A man serves to perform a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Minus
19,Entailment.Entailment.Entailment,<t> A man learns to perform a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Minus
20,Entailment.Entailment.Entailment,<t> A man dares to perform a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Minus
21,Entailment.Entailment.Entailment,<t> A man uses to perform a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Minus
22,Entailment.Entailment.Entailment,<t> A man gets to perform a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Minus
23,Entailment.Entailment.Entailment,<t> A man comes to perform a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Minus
24,Contradiction.Entailment.Contradiction,<t> A man forgets to perform a handstand on the beach,A handstand is being performed by a man on the beach </t>,2,Minus/Plus
25,Contradiction.Entailment.Contradiction,<t> A man fails to perform a handstand on the beach,A handstand is being performed by a man on the beach </t>,2,Minus/Plus
33,Contradiction.Entailment.Neutral,<t> A man refuses to perform a handstand on the beach,A handstand is being performed by a man on the beach </t>,1,Minus/Neutral
34,Contradiction.Entailment.Neutral,<t> A man declines to perform a handstand on the beach,A handstand is being performed by a man on the beach </t>,1,Minus/Neutral
36,Entailment.Entailment.Entailment,<t> A man shows that he is performing a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Neutral
37,Entailment.Entailment.Entailment,<t> A man determines that he is performing a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Neutral
38,Entailment.Entailment.Entailment,<t> A man confirms that he is performing a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Neutral
39,Entailment.Entailment.Entailment,<t> A man demonstrates that he is performing a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Neutral
40,Entailment.Entailment.Entailment,<t> A man helps to perform a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Neutral
41,Entailment.Entailment.Entailment,<t> A man haves to perform a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Neutral
42,Entailment.Entailment.Entailment,<t> A man ensures that he is performing a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Neutral
43,Entailment.Entailment.Entailment,<t> A man tends to perform a handstand on the beach,A handstand is being performed by a man on the beach </t>,0,Plus/Neutral
137,Entailment.Entailment.Entailment,<t> A man realizes that he is playing the drums,The drums are being played by a man </t>,0,Plus/Plus
138,Entailment.Entailment.Entailment,<t> A man knows that he is playing the drums,The drums are being played by a man </t>,0,Plus/Plus
139,Entailment.Entailment.Entailment,<t> A man remembers that he is playing the drums,The drums are being played by a man </t>,0,Plus/Plus
140,Entailment.Entailment.Entailment,<t> A man notices that he is playing the drums,The drums are being played by a man </t>,0,Plus/Plus
141,Entailment.Entailment.Entailment,<t> A man reveals that he is playing the drums,The drums are being played by a man </t>,0,Plus/Plus
142,Entailment.Entailment.Entailment,<t> A man finds that he is playing the drums,The drums are being played by a man </t>,0,Plus/Plus
143,Entailment.Entailment.Entailment,<t> A man admits that he is playing the drums,The drums are being played by a man </t>,0,Plus/Plus
144,Entailment.Entailment.Entailment,<t> A man observes that he is playing the drums,The drums are being played by a man </t>,0,Plus/Plus
145,Entailment.Entailment.Entailment,<t> A man sees that he is playing the drums,The drums are being played by a man </t>,0,Plus/Plus
