premise,hypo,generated_hypo
Sweeney told Woodward that she and Ong were trying to relay as much information as they could to people on the ground. [EOS],Sweeney was trying to tell the people on the ground about what happened.,Sweeney told Woodward that they were trying to give as much information. PH
"Rounding a bend, with the sun now behind us, the show suddenly transforms to green moss, yellow sand, blue-green conifers. [EOS]","We now see green moss, yellow sand, and blue-green conifers as we round the bend.",The show changes as we go around a bend. fantasyAdvertisementscommentsSign
"The President told us his instinct was to project calm, not to have the country see an excited reaction at a moment of crisis. [EOS]",The President said the country shouldn't see an excited reaction during the crisis and that he would project calm.,The President told us that he was trying to project calm. PHILAD
I like working and making money. [EOS],Making money is something that I really like to do.,"I like working and making money. phobicCommentscommentsAbout me, I"
"In other words, the savings created in throughput reduction in assembly were lost on the shipping dock. [EOS]",The shipping dock proved to be more of a cost than the savings created in other areas.,The savings created in throughput reduction were lost on the shipping dock. PHOTO
"What a pleasure, for example, to discover that one who has been tagged out at home plate is the victim of an  out-throw.  [EOS]",To discover that one who has been tagged out at home plate is the victim of an out-throw.,It's a pleasure to find out that someone who has been tagged at home plate is
"Shortly thereafter, the passengers and flight crew began a series of calls from GTE airphones and cellular phones. [EOS]",The passengers and flight crew made phone calls.,The passengers and flight crew began to call from GTE airphones. PH
"Every time we stop I want you to get off and let whoever I'm letting on, in and then you get back in, sit on the step. [EOS]",I want you to get off at the next stop.,I want you to get off and sit on the step every time we stop. 
"Well, who told you that story? [EOS]",Are you able to recall which person told you the story?,Who told you that story? PHILIPPEASANTISTA.
"crapulous, crapulent What this suggests would, of course, only occur to pre-pubescent boys and has nothing to do with the real meaning of drunkenness, overeating. [EOS]","Only young boys would think this, not those familiar with drunkenness and gluttony.",This suggests that boys are more likely to overeat than adults. PHIL
"Uh, it's interesting how, uh, stories become so impressionable the younger the hearer. [EOS]","It's interesting how impressionable, young people are to stories.",It's interesting how stories become so impressionable when you're younger. PH
"Based on our 1992 survey, we estimated lead times for two different   standard  lead times that represent performance for a typical product in the supplier's selection and  shortest  lead times that indicate a supplier's best practice. [EOS]",Our 1992 survey investigates production lead times.,We estimated lead times for two different standard standards. PHOTO: We conducted
" Oh, you want a cracker!  [EOS]",You would like a cracker!,You want a cracker! piotr.comCommentscommentsand phrases
I have nobody here to guide me. [EOS],"I don't have anyone to help me, here. ",I don't have anyone to guide me. fantasyAdvertisementscommentsand more
High demand variation similarly occurs during the beginning and end of a product life cycle. [EOS],The end of a product's life cycle can see high demand variation.,Demand variation occurs during the beginning and end of a product life cycle. PH
These advancements simply would not have been available without contributions from alumni and friends of the school. [EOS],The alumni and friends of the school contributed. ,Alumni and friends of the school made contributions that allowed these advancements to happen. 
