index,premise,hypothesis,label,grammar
12,The employers in the stable shops with employees whom they were anxious to keep suffered as much as we did because the union was weak. [],The employers in the stable shops with employees whom they were anxious to keep suffered as much.,1,?
15,The supervisor instructed the controller to follow standard procedures for handling a no radio aircraft. [],The supervisor told the controller to follow standard procedures for handling a no radio aircraft.,0,
39," When I found out that the infant mortality rate in Indiana was 86 percent greater than for mothers in weden, I was shocked. []",I was shocked to learn that the infant mortality rate in Indiana is higher than Sweden.,0,
70," (This, remember, was in my youth, and it was a time when typographical errors were called typographical errors, not typos'at least by kids in junior high.) []",It was a time when kids in junior high were not allowed to make typos.,1,
86," Thus the evidence at the RHD offices indicated the need for reinforcement of the notion of maleness associated with the word, not, as M and  suggest, a trend toward epicenism. []",The evidence at the RHD offices indicated that reinforcement of maleness was needed.,1,
90," So what is the explanation of the phrase cold enough to freeze the balls off a brass monkey ?  Well, the obvious one, I believe. []",I believe the phrase cold enough to freeze a brass monkey is an obvious explanation.,1,
98,Parental oversight and involvement in children's TV viewing are essential for two reasons. [],Parental oversight and involvement in children's TV viewing is essential for two reasons.,0,?
111," At 9:24, Ballinger's warning to United 93 was received in the cockpit. []",Ballinger's warning to United 93 was received in the cockpit at 9:24.,0,
114," Pursuant to the Nunn-Lugar-Domenici Domestic Preparedness Program, the Defense Department began in 1997 to train first responders in 120 of the nation's largest cities. []",The Defense Department began training first responders in 120 of the nation's largest cities.,0,
119,The new world of rapid replenishment implies additional capabilities for both the retailer and manufacturer. [],The new world of rapid replenishment implies additional capabilities for both the retailer and manufacturer.,0,
124," Girl couting's many friends who have been the recipients of good wishes, we have enhanced our facilities and programs to increase the joy that Girl couting brings to all girls. []",We have improved our facilities and programs to increase the joy that Girl couting brings.,0,
138," We have relied on a mix of common sense, the sound of the name in Arabic, and common usage in source materials, the press, or government documents. []","We have relied on a mix of common sense, the sound in Arabic and usage.",0,?
181," For example, the ecretary of Labor has used his or her  bully pulpit to call attention to the problem []",The ecretary of Labor has used his or her bully pulpit to call attention.,0,
190,This information infrastructure proved most beneficial when it gave Penney's major vendors access to sales data via direct broadcast satellite. [],Penney's major vendors were given access to sales data via direct broadcast satellite.,0,
192," More likely, they read wants as meaning `desires' rather than `lacks,' but that might well be a deliberate, facetious ambiguity. []",They might be reading wants as meaning 'desires' rather than just lacks.,0,?
194," n 9/11, the terrorists turned off the transponders on three of the four hijacked aircraft. []",The terrorists turned off the transponders on three of four hijacked aircraft.,0,
227,The looking-glass image of utopia--dystopia--has provided more numerous additions to the nglish lexicon. [],The nglish lexicon has been expanded by the looking-glass image of utopia.,0,
232,Bin Ladin was prepared to pick up where he had left off in udan. [],Bin Ladins was prepared to take up where he left off in udan.,0,
239," In British nglish it is no longer considered a solecism to use the plurals they, their, them, theirs as a generalized pronoun for words like eyeryone, everybody, anyone, anybody , etc. []",British nglish is no longer considered a solecism to use the plurals.,1,?
253,Rusine should be added to the supplement of nglish words ending in - ine (p. [],Rusine should be added to the supplement of nglish words ending in -ine.,0,
260," Bin Ladin apparently kept his options open, maintaining contacts with Gulbuddin Hekmatyar, who, though an Islamic extremist, was also one of the Taliban's most militant opponents. []",Bin Ladins had contacts with Gulbuddin Hekmatyar.,0,?
264," When a performer is inspired, it is said that he, or she,  tiene duende  (`has it'). []","When a performer is inspired, it's said that he has tiene duende.",1,?
276," metapsychosis ne of the finest of traps for the knowledgeable  it has nothing to do with some over-arching, society-wide psychological illness like alcoholism or jogging. []",Metapsychosis is not a psychological illness like alcoholism or jogging.,1,
278," Hopefully, all of us can do more internal marketing with our young patients to encourage them to consider the field of Dental Assisting. []",We can encourage our young patients to consider the field of Dental Assisting.,1,
280," No evidence of firearms or of their identifiable remains was found at the aircraft's crash site, and the cockpit voice recorder gives no indication of a gun being fired or mentioned at any time. []",There was no evidence of firearms or their remains at the aircraft's crash site.,0,
282," There is another option called, UGGT, which, if invoked, lists up to seven or eight words that you might have had in mind when you wrote the one that offended the machine, and this brings me to the point of this article. []",UGGT is a way to list up the words that offended you.,2,
