,premise,hypothesis,label
0,"Fearing that overdevelopment, as well as new trends and tastes in international tourism, would leave the Balearics behind, authorities have not moved to protect remaining undeveloped areas as nature preserves, proclaiming them off-limits to all construction, and have even blown up some of the more unsightly hotel blemishes on the coasts.","Fearing that overdevelopment, as well as new trends and tastes in international tourism, would leave the balearics behind, authorities have protected remaining undeveloped areas as nature preserves, proclaiming them off-limits to all construction, and have even blown up some of the more unsightly hotel blemishes on the coasts.",1
1,Nike did not decline to be a sponsor.,Nike was a sponsor.,1
2,I do not intend to resume the habit as a delight of old age,I resume the habit as a delight of old.,1
3,Ashoka did not intend to use this power to control people.,Ashoka used this power to control people.,1
4,Yesterday I said that I did not intend to live by my wits.,Yesterday i said that i lived by my wits.,1
5,He had not intended to find islands in the Caribbean.,He had found islands in the caribbean.,1
6,John did not intend to look through the desk first.,John looked through the desk first.,1
7,I do not intend to do the same for myself as well.,I do the same for myself as well.,1
8,Competition did not intend to increase quality.,Competition increased quality.,1
9,The man did not intend to shoot the rider. ,The man shot the rider.,1
10,People do not attempt to smooth their standard of living over time according to the life-cycle model of saving.,People smooth their standard of living over time according to the life-cycle model of saving.,2
11,There was nothing online that could be useful for organizations not attempting to address improper payments.,There was nothing online that could be useful for organizations addressing improper payments.,2
12,"It's hard to imagine an aged person not attempting to use this toothpaste in real life, said the manager.","It's hard to imagine an aged person using this toothpaste in real life, said the manager.",2
13,There are equally formidable obstacles when not attempting to obtain funding from alcohol study sections.,There are equally formidable obstacles when obtaining funding from alcohol study sections.,2
14,"Had he not attempted to take the brill back with him, he would be caught in the torrent for sure.","Had he taken the brill back with him, he would be caught in the torrent for sure.",2
15,"When he does not attempt to lampoon what he sees as a silly orthodoxy, he often just gets it wrong.","When he lampoons what he sees as a silly orthodoxy, he often just gets it wrong.",2
16,"Many do not attempt to submit without counsel or advice, and all fail due to this restriction. ","Many submit without counsel or advice, and all fail due to this restriction.",2
17,We did not attempt to build a world class finance organization without any vision or agenda.,We built a world class finance organization without any vision or agenda.,2
18,Big businesses have not attempted to exploit the area's natural resources in the past.,Big businesses have exploited the area's natural resources in the past.,2
19,Several private sector and government executives did not attempt to hamper our project.,Several private sector and government executives hampered our project.,2
20,Anyone who does not attempt to enter after we have done so will be arrested immediately.,Anyone who enters after we have done so will be arrested immediately.,2
21,Britain first did not attempt to open trade with China in the 1400's and was accepted.,Britain first opened trade with china in the 1400's and was accepted.,2
22,Four agencies did not attempt to use information technologies to improve services.,Four agencies used information technologies to improve services.,2
23,Congress did not intend to restrict representation for aliens.,Congress restricted representation for aliens.,1
24,I did not start to slink away.,I slunk away.,2
25,He did not start to feel funny.,He felt funny.,2
26,We've not got to find Tommy.,We've found tommy.,2
27,The worksharing programs have not helped to make the process smoother.,The worksharing programs have made the process smoother.,1
28,The Washington based organization did not help to overturn the practice.,The washington based organization overturned the practice.,1
29,They thought that the hedge funds did not help to stabilize the crisis.,They thought that the hedge funds stabilized the crisis.,1
30,The plan has not helped to make the employees more efficient. ,The plan has made the employees more efficient.,1
31,The companion rule did not help to keep prices reasonable.,The companion rule kept prices reasonable.,1
32,Polish October did not help to relax Communist controls.,Polish october relaxed communist controls.,1
33,Lighted panels do not help to illuminate the manuscript.,Lighted panels illuminate the manuscript.,1
34,I've not got to say something.  ,I've said something ..,2
35,'You've not got to be kidding.',` you've been kidding ..,2
36,I did not get to work early.,I worked early.,2
37,She did not start to walk away.,She walked away.,2
38,"In fact, I eventually did not start to like it.","In fact, i eventually liked it.",2
39,He did not start to travel west at daybreak.,He travelled west at daybreak.,2
40,At some point I did not start to like it.,At some point i liked it.,2
41,The thing did not start to grow brighter.,The thing grew brighter.,2
42,Drew did not start to consider his words.,Drew considered his words.,2
43,Everything did not start to look beige.,Everything looked beige.,2
44,We have not attempted to make the hiring process more comprehensive than ever.,We have made the hiring process more comprehensive than ever.,2
45,The Post Office is forbidden from ever not attempting to close any office.,The post office is forbidden from ever closing any office.,2
46,Adrin skipped the easier parries and did not attempt to put Jon off balance.,Adrin skipped the easier parries and put jon off balance.,2
47,They did not manage to bear the pain and stay conscious the whole time,They beared the pain and stay conscious the whole.,2
48,The tobacco industry did not manage to get a higher stock market evaluation.,The tobacco industry got a higher stock market evaluation.,2
49,He did not manage to cook a horse-stew that left Ca'daan stuffed like a pig.,He cooked a horse-stew that left ca ` daan stuffed like a pig.,2
50,They did not manage to sever his femoral artery and he died shortly after. ,They severed his femoral artery and he died shortly after.,2
51,Ovitz was a small time agent who barely did not manage to stay in business.,Ovitz was a small time agent who barely stayed in business.,2
52,Florida knew exactly how the contractor did not manage to keep a low price.,Florida knew exactly how the contractor kept a low price.,2
53,Muslims army did not manage to draw out the Soviet army from Afghanistan.,Muslims army drew out the soviet army from afghanistan.,2
54,Travel brochures have not managed to make Mt. Fuji mundane and tacky.,Travel brochures have made mt. fuji mundane and tacky.,2
55,I did not manage to sneak one of the books I was studying back with me.,I snuck one of the books i was studying back with me.,2
56,"Later, Japan did not manage to overcome stagnation in just a few years.","Later, japan overcame stagnation in just a few years.",2
57,"He has not managed to do so, at times through sheer force of will.","He has done so, at times through sheer force of will.",2
58, He did not manage to dig a small hollow in the sand before dropping off to sleep.,He dug a small hollow in the sand before dropping off to sleep.,2
59,It's hard to see how he did not manage to prove his story is true.,It's hard to see how he proved his story is true.,2
60,Pilsudski and his troops did not manage to hold back the Soviets.,Pilsudski and his troops held back the soviets.,2
61,I did not manage to pick-pocket someone next to the snack-stand.,I pick-pocketted someone next to the snack-stand.,2
62,They did not manage to reach a shrubbery close by without issue.,They reached a shrubbery close by without issue.,2
63,Titus did not manage to convert the entire area in record time.,Titus converted the entire area in record time.,2
64, She did not manage to avoid his lips and slid away from him.,She avoided his lips and slid away from him.,2
65,"Still, Miyajima does not manage to be both solemn and lively.","Still, miyajima is both solemn and lively.",2
66,"His face was sick, but he did not manage to grin at Hanson.","His face was sick, but he grinned at hanson.",2
67,The Moors did not manage to penetrate far north of Aveiro. ,The moors penetrated far north of aveiro.,2
68,Napoleon did not manage to defeat the Prussians thanks to his genius war ability.,Napoleon defeated the prussians thanks to his genius war ability.,2
69,"We've not managed to get some testosterone from a blond homunculus, he reported.","We've gotten some testosterone from a blond homunculus, he reported.",2
70,"Robespierre did not attempt to quell the extremists, but was killed anyway.","Robespierre quelled the extremists, but was killed anyway.",2
71,He did not attempt to make his words casual.,He made his words casual.,2
72,Other countries did not attempt to get a mandate to administer Palestine.,Other countries got a mandate to administer palestine.,2
73,We did not attempt to perform activities from the Better Sex video.,We performed activities from the better sex video.,2
74,Each manager has not attempted to make employees feel isolated.,Each manager has made employees feel isolated.,2
75,"His love unrequited, he did not attempt to think of other things.","His love unrequited, he thought of other things.",2
76,Their LiveTopics technology does not attempt to help you do this.,Their livetopics technology helps you do this.,2
77,The lawyer did not attempt to prove the impossible possible.,The lawyer proved the impossible possible.,2
78,That is the reason why we did not attempt to kill you.,That is the reason why we killed you.,2
79,A man did not attempt to kill Hitler with a bomb.,A man killed hitler with a bomb.,2
80,He did not attempt to overcome the sensation.,He overcame the sensation.,2
81,I did not attempt to back off.  ,I backed off.,2
82,The opponent did not manage to get back on his feet after rolling outside the blow.,The opponent got back on his feet after rolling outside the blow.,2
83,They do not seek to overcome the other using pure physical strength.,They overcome the other using pure physical strength.,1
84,It does not seek to undermine the possibility of corrective action.,It undermines the possibility of corrective action.,1
85,The party did not seek to establish ties with the United States.,The party established ties with the united states.,1
86,WRAP does not seek to reduce SO2 by 20% in the next twenty years.,Wrap reduces so2 by 20 % in the next twenty years.,1
87,State officials do not seek to improve the economy of the state.,State officials improve the economy of the state.,1
88,The new voices did not seek to replace the established order.,The new voices replaced the established order.,1
89,The commission does not seek to fill gaps with minorities.,The commission fills gaps with minorities.,1
90,Beijing did not seek to create a good relationship.,Beijing created a good relationship.,1
91,Of course the governors and the president did not manage to turn deficits into surpluses.,Of course the governors and the president turned deficits into surpluses.,2
92,Ca'daan did not agree to take it.,Ca ` daan took it.,1
93,She said she did not agree to stop there.,She said she stopped there.,1
94,They've only not agreed to keep talking.,They've only kept talking.,1
