,task,verb,premise,hypothesis,label
0,to,move,"Fearing that overdevelopment, as well as new trends and tastes in international tourism, would leave the Balearics behind, authorities have not moved to protect remaining undeveloped areas as nature preserves, proclaiming them off-limits to all construction, and have even blown up some of the more unsightly hotel blemishes on the coasts.","Fearing that overdevelopment, as well as new trends and tastes in international tourism, would leave the balearics behind, authorities have protected remaining undeveloped areas as nature preserves, proclaiming them off-limits to all construction, and have even blown up some of the more unsightly hotel blemishes on the coasts.",1
1,to,decline,Nike did not decline to be a sponsor.,Nike was a sponsor.,1
2,to,intend,I do not intend to resume the habit as a delight of old age,I resume the habit as a delight of old.,1
3,to,intend,Ashoka did not intend to use this power to control people.,Ashoka used this power to control people.,1
4,to,intend,Yesterday I said that I did not intend to live by my wits.,Yesterday i said that i lived by my wits.,1
5,to,intend,He had not intended to find islands in the Caribbean.,He had found islands in the caribbean.,1
6,to,intend,John did not intend to look through the desk first.,John looked through the desk first.,1
7,to,intend,I do not intend to do the same for myself as well.,I do the same for myself as well.,1
8,to,intend,Competition did not intend to increase quality.,Competition increased quality.,1
9,to,intend,The man did not intend to shoot the rider. ,The man shot the rider.,1
10,to,attempt,People do not attempt to smooth their standard of living over time according to the life-cycle model of saving.,People smooth their standard of living over time according to the life-cycle model of saving.,2
11,to,attempt,There was nothing online that could be useful for organizations not attempting to address improper payments.,There was nothing online that could be useful for organizations addressing improper payments.,2
12,to,attempt,"It's hard to imagine an aged person not attempting to use this toothpaste in real life, said the manager.","It's hard to imagine an aged person using this toothpaste in real life, said the manager.",2
13,to,attempt,There are equally formidable obstacles when not attempting to obtain funding from alcohol study sections.,There are equally formidable obstacles when obtaining funding from alcohol study sections.,2
14,to,attempt,"Had he not attempted to take the brill back with him, he would be caught in the torrent for sure.","Had he taken the brill back with him, he would be caught in the torrent for sure.",2
15,to,attempt,"When he does not attempt to lampoon what he sees as a silly orthodoxy, he often just gets it wrong.","When he lampoons what he sees as a silly orthodoxy, he often just gets it wrong.",2
16,to,attempt,"Many do not attempt to submit without counsel or advice, and all fail due to this restriction. ","Many submit without counsel or advice, and all fail due to this restriction.",2
17,to,attempt,We did not attempt to build a world class finance organization without any vision or agenda.,We built a world class finance organization without any vision or agenda.,2
18,to,attempt,Big businesses have not attempted to exploit the area's natural resources in the past.,Big businesses have exploited the area's natural resources in the past.,2
19,to,attempt,Several private sector and government executives did not attempt to hamper our project.,Several private sector and government executives hampered our project.,2
20,to,attempt,Anyone who does not attempt to enter after we have done so will be arrested immediately.,Anyone who enters after we have done so will be arrested immediately.,2
21,to,attempt,Britain first did not attempt to open trade with China in the 1400's and was accepted.,Britain first opened trade with china in the 1400's and was accepted.,2
22,to,attempt,Four agencies did not attempt to use information technologies to improve services.,Four agencies used information technologies to improve services.,2
23,to,intend,Congress did not intend to restrict representation for aliens.,Congress restricted representation for aliens.,1
24,to,start,I did not start to slink away.,I slunk away.,2
25,to,start,He did not start to feel funny.,He felt funny.,2
26,to,get,We've not got to find Tommy.,We've found tommy.,2
27,to,help,The worksharing programs have not helped to make the process smoother.,The worksharing programs have made the process smoother.,1
28,to,help,The Washington based organization did not help to overturn the practice.,The washington based organization overturned the practice.,1
29,to,help,They thought that the hedge funds did not help to stabilize the crisis.,They thought that the hedge funds stabilized the crisis.,1
30,to,help,The plan has not helped to make the employees more efficient. ,The plan has made the employees more efficient.,1
31,to,help,The companion rule did not help to keep prices reasonable.,The companion rule kept prices reasonable.,1
32,to,help,Polish October did not help to relax Communist controls.,Polish october relaxed communist controls.,1
33,to,help,Lighted panels do not help to illuminate the manuscript.,Lighted panels illuminate the manuscript.,1
34,to,get,I've not got to say something.  ,I've said something ..,2
35,to,get,'You've not got to be kidding.',` you've been kidding ..,2
36,to,get,I did not get to work early.,I worked early.,2
37,to,start,She did not start to walk away.,She walked away.,2
38,to,start,"In fact, I eventually did not start to like it.","In fact, i eventually liked it.",2
39,to,start,He did not start to travel west at daybreak.,He travelled west at daybreak.,2
40,to,start,At some point I did not start to like it.,At some point i liked it.,2
41,to,start,The thing did not start to grow brighter.,The thing grew brighter.,2
42,to,start,Drew did not start to consider his words.,Drew considered his words.,2
43,to,start,Everything did not start to look beige.,Everything looked beige.,2
44,to,attempt,We have not attempted to make the hiring process more comprehensive than ever.,We have made the hiring process more comprehensive than ever.,2
45,to,attempt,The Post Office is forbidden from ever not attempting to close any office.,The post office is forbidden from ever closing any office.,2
46,to,attempt,Adrin skipped the easier parries and did not attempt to put Jon off balance.,Adrin skipped the easier parries and put jon off balance.,2
47,to,manage,They did not manage to bear the pain and stay conscious the whole time,They beared the pain and stay conscious the whole.,2
48,to,manage,The tobacco industry did not manage to get a higher stock market evaluation.,The tobacco industry got a higher stock market evaluation.,2
49,to,manage,He did not manage to cook a horse-stew that left Ca'daan stuffed like a pig.,He cooked a horse-stew that left ca ` daan stuffed like a pig.,2
50,to,manage,They did not manage to sever his femoral artery and he died shortly after. ,They severed his femoral artery and he died shortly after.,2
