premise,hypo,generated_hypo
 We serve a classic Tuscan meal that includes a Florentine terrine made with dick and chicken livers. [EOS],We serve a meal of Florentine terrine.,Dick and chicken livers are both included in the classic Tuscan meal. 
"I was on this earth you know, I've lived on this earth for some reason, I just don't know what it is yet. [EOS]",I don't yet know the reason why I have lived on earth. ,I've been on this earth for some reason. onecement of what
"for `family hold back,' an exhortation ensuring ample provender for guests. [EOS]","'family hold back,' an emphatic command to guarantee enough food for visitors.",Family hold back is an exhortation to ensure ample provender for guests. 
"The other name, native well is, as a later explorer David Carnegie, author of Spinifex and Sand (1898), points out, a misnomer. [EOS]","The alternative name, resulting from a translation, was a misnomer according to the explorer David Carnegie.",David Carnegie wrote Spinifex and Sand. onevener is a mis
"If a hijack was confirmed, procedures called for the hijack coordinator on duty to contact the Pentagon's National Military Command Center (NMCC) and to ask for a military escort aircraft to follow the flight, report anything unusual, and aid search and rescue in the event of an emergency. [EOS]",Once a hijacking is confirmed the Pentagon's National Military Command Center (NMCC) is supposed to be notified so they can order a military escort aircraft to follow the flight and report on anything suspicious.,The hijack coordinator on duty was called to contact the Pentagon's National Military Command Center
The simplest is for one or more of the members to simply donate one million dollars to the IGGS Scholarship Fund. [EOS],The simplest is for one million dollars to be donated by one of the members to the IGGS Scholarship Fund. ,One million dollars can be donated to the IGGS Scholarship Fund. one
"Regardless of where Quick Response has succeeded, however, our research indicates that very different time-based competitive demands have emerged in the industry, driven not by voluntary acceptance of policies but by the changing nature of market competition among retailers. [EOS]",Market competition has caused new competitive demands.,Quick Response has succeeded. one time-based competitive demands have emerged in the
"In this period, a number of key technological changes  sewing machines that made many more stitches a minute, long knives instead of shears for cutting, and pressing machines. [EOS]","In this period, various key innovative changes, sewing machines that made numerous more lines a moment, long blades rather than shears for cutting, and squeezing machines.",There were a number of technological changes in this period. Vegas/
Carnegie also describes namma-holes and soaks as sources of water. [EOS],Gnamma-holes and soaks were described by Carnegie.,Carnegie describes namma-holes and soaks as sources of water. 
 From Home Work to Modern Manufacture [EOS],Modern manufacturing has changed over time.,Modern manufacturing and home work. oneventary development of modern manufacture from the
"Here, the object of play is the written form of the answer, or, more precisely, the letters of which that form consists. [EOS]",In this situation the object is in the written form. ,The written form of the answer is what play involves. oneceprecise
"When we consider how much the set is on during school holidays and summer vacations, children spend more time watching TV than they do in any other waking activity, including going to school and interacting with family members or peers. [EOS]",TV is king when it comes to how children spend their time. ,Children spend more time watching TV than they do in any other waking activity. 
The employers in the stable shops with employees whom they were anxious to keep suffered as much as we did because the union was weak. [EOS],Even those employees with strong union representation suffered because their employers were anxious to keep them.,The employers in the stable shops with employees who they were anxious to keep suffered as much
The law school is limited in these recessionary times because it's impractical to raise tuition significantly to gain the difference from lost state appropriations. [EOS],The law school is limited in during these times due to the recession.,The law school is limited in these recessionary times because it's impractical to raise tuition
"Indeed, no clear dividing line exists between prereading and reading. [EOS]",There is no obvious difference between prereading and reading.,There is no clear dividing line between prereading and reading. ­hood of
The supervisor instructed the controller to follow standard procedures for handling a no radio aircraft. [EOS],Standard procedures were followed for an aircraft with no radio.,The supervisor told the controller to follow standard procedures for handling a no radio aircraft. 
It just kind a fills it out a little bit makes it a little easier on the ear especially if they can't sing but. [EOS],It makes it more pleasant to listen to.,"It fills it out a little bit, which makes the ear easier to listen. "
"As with many new technologies that have developed since the 1970s, adoption of innovative equipment is still occurring in fits and starts and depends on a given firm's size and mix of products. [EOS]",A firm's size and product variety will depend on whether or not they adopt innovative equipment.,"New technologies are still being developed. oneventively, adoption of innovative"
"At 9:03, United 175 crashed into the South Tower. [EOS]",United 175 crashed into the South Tower at 9:03.,United 175 crashed into the South Tower at 9:03.  summa cum
Please renew your commitment today. [EOS],A renewal of commitment is required today,"Please renew your commitment today. Vegas, California - please! This"
Each prospective and current program is evaluated on the basis of its support of one or more aspects of women's needs. [EOS],Every program is judged on how well it helps women.,The prospective and current programs are evaluated on the basis of their support for women's needs
So what has changed the prognosis for American apparel and textiles and provided new opportunities for these industries? [EOS],There are now more opportunities in the apparel and textile industries in America.,What has changed the outlook for American apparel and textiles? one of these
" Got him just out of 9,500-9,000 now. [EOS]",We got him out of that 9500-9000 range.,"He is just out of 9,500-9000.  summa cum"
Appreciate it. [EOS],Thank you.,I appreciate it.  summa contravene the law of reciprocity and
"He views either of them as the instrument, the bond, of his not being able to pass on the crown to a successor of his choosing (or of his subsequent begetting). [EOS]",He cannot pass the klngship onto someone else.,He doesn't want to pass on the crown. onecesvension
Something to that effect. [EOS],That's approximately what it means. ,Something to that effect. onecement of something like this? - and
"The story disclosed that adults realize a long service is hard for a small boy to sit through, but exercising self-restraint and participating in communal rituals bring praise and acceptance from the community. [EOS]","According to the story, adult's do realize that a small boy will find a long service difficult to sit through.",A long service is hard for a small boy to sit through. ­hood
"Of those beginning prenatal care in the first trimester, Indiana mothers rank in the lower third of individuals receiving such care nationwide. [EOS]",There are Indiana mothers who do not receive prenatal care in the first trimester.,Indiana mothers are less likely to receive prenatal care in the first trimester. 
"The people of Batavia on the Hopi Reservation in northern Arizona were motivated by their desire to rekindle traditional cultural values among younger generations when, with the help of Futures for Children, they decided to restore traditional terrace gardens at the edge of their village -gardens that had been abandoned for decades. [EOS]",Traditional values have motivated people of Batavia to care about their land.,Batavia is on the Hopi Reservation in northern Arizona.  summa
"Between 9:01 and 9:02, a manager from New York Center told the Command Center in  [EOS]",A manager from the New York Center told the Command Center something between 9:01 and 9:02.,A manager from New York Center told the Command center in between 9:01 and9
Did you have lots of storybooks at your house that were read to you? [EOS],Were a lot of the books in your house read to you?,Did you have a lot of storybooks at your house? Commentary on
Blaring sirens and horrendous crime. [EOS],Loud sirens and terrible crime.,"There was terrible crime and loud sirens. onecevenous crimes,"
How can parents beat the  time bind ? [EOS],How can parents find more time?,How can parents beat the time bind? (x) - How do you
"Fulfilling his bargain with Turabi, Bin Ladin used his construction company to build a new highway from Khartoum to Port Sudan on the Red Sea coast. [EOS]",Bin Ladin used his construction company to construct a highway between the city to the port.,Bin Ladins built a new highway.  sum total of 12 miles long
Is there a favorite story or storybook or anything that you had when you were little that somebody read to you? [EOS],Were any books read to you in your childhood?,Do you have a favorite story or book that someone read to your when they were little
I really don't. [EOS],I do not.,"I don't. onece over all of it, I really do not"
I am asking for the support of the families of Herron students to help maintain this vital program. [EOS],I want families of Herron students to support the program.,I am asking for the families of Herron students to help maintain this vital program.
(Origin unknown; not from Gaelic)  I think it hardly fanciful to discern a note of Calvinist disapproval in this curt disclaimer. [EOS],It isn't too fanciful to note the disapproval by Calvinists here.,"Calvinist disapproval is implied in the disclaimer. oneventimely,"
"Some time ago, Texans picked up a speech habit that is being acquired by the rest of the country. [EOS]",Texans picked up a speech habit that is being picked up by the rest of the country.,Texans have a speech habit that is being adopted by the rest of America. 
"When I found out that the infant mortality rate in Indiana was 86 percent greater than for mothers in Sweden, I was shocked. [EOS]",The news was a huge surprise to me.,I was shocked to learn that the infant mortality rate in Indiana is 86 percent greater than
The good news is that the teen-age birth rate has fallen almost 9 percent since 1991. [EOS],"The teen birth rate has fallen since 1991, which is good news.",The teen-age birth rate has fallen almost 9 percent since 1991. one
"We would all slide the windows down on the bus open the door, stick your head out the door, you couldn't hear anything coming that way, you couldn't hear anything coming the other way, and he'd just drop it in low and gun it, we would make it another morning. [EOS]",You couldn't hear anything coming outside the bus window.,We would open the door and stick our heads out. onece over time
Lonq live Spring Creek Prairie! [EOS],All hail the Spring Creek Prairie!,"Lonq live Spring Creek Prairie! one.com"" - from Lon"
  Live at Five.  [EOS],Something is happening at five,"Live at Five. one hundred percent accurate, and true to the time period"
"At 7:15, a pair of them, Khalid al Mihdhar and Majed Moqed, checked in at the American Airlines ticket counter for Flight 77, bound for Los Angeles. [EOS]",Khalid al Mihdhar and Majed Moqed checked in at 7:15.,A pair of them checked in at the American Airlines ticket counter.  summa
The forecasting challenges retailers confront have been amplified in recent years by product proliferation in almost every category. [EOS],The estimating challenges retailers go up against have been intensified as of late by item multiplication in practically every classification.,Product proliferation has amplified the forecasting challenges retailers confront. onevenity of product
"After completing the process of developing a demand forecast for each SKU, a retailer must determine how much of each item to stock on the shelves of its stores. [EOS]",Retailers have to decide how much of items they're going to stock on shelves.,A retailer must determine how much of each item to stock on the shelves. 
"'  Perhaps it was so called because it opens in morning and closes at night, or because of its eyelike shape. [EOS]","It may have been called so because of its opening and closing rituals, or because it resembles an eye.",It is named because of its eyelike shape. onecementioning
"I thought that was surely the first time I had ever seen such an obvious typographical error in, of all things, a simple title on a simple 78-rpm record. [EOS]",I thought it was the first time I'd seen such an error on a record label.,I thought that was the first time I had seen such a typographical error on an
"But while the effort failed, it shows what Bin Ladin and his associates hoped to do. [EOS]",Bin Ladin and his associates' goals were revealed by their failed effort.,Bin Ladins and his associates failed in their effort. onece over
"By 8:00 A.M. on the morning of Tuesday, September 11,2001, they had defeated all the security layers that America's civil aviation security system then had in place to prevent a hijacking. [EOS]",There were inadequate measures in place to stop a hijacking from taking place.,They defeated the security layers of America's civil aviation system.  summa on
"Unfortunately, the presentation of his linguistic argument, where the author is clearly treading on more speculative ground than in those parts dealing with outright archaeology, where he is on more familiar territory, is disorganized and repetitious. [EOS]",The argument is messy and repeats itself.,The author's linguistic argument is disorganized and repetitious.  summaire
"If a new sewing table or a new sewing machine with programmable features is added at a particular workstation'that is, any device that reduces the time it takes to complete various tasks'then the allowable time and wage rate for that operation must be changed. [EOS]","If a technology or machine changes the time it takes to finish a task, the time window for completing that task and compensation must be altered.",A new sewing table or a machine with programmable features must be changed. 
That must be a really big deal. [EOS],That seems like a rather important thing.,That must be a big deal. onecement of significance? That is
"On reflection, the parts will hold together. [EOS]",The part will hold together on second thought. ,"The parts will hold together. Vegas, on reflection? Yes!"
We thought it would be cool to see just how far a BB would shoot. [EOS],We wanted to see how far a BB would shoot.,We thought it would be cool to see how far a BB could go. 
The Concise Oxford allows both pronunciations. [EOS],The Concise Oxford provides multiple ways to say a word.,Both pronunciations are allowed by The Concise Oxford. oneffects
Your gift to Goodwill will help us do even more this year because your gift will be used to directly support our work. [EOS],"By donating to the Goodwill this year, we will be able to provide more support to our work.",Your gift will help us do more this year. onecement of the
"Lower-level officials improvised-for example, the FAA's Boston Center bypassed the chain of command and directly contacted NEADS after the first hijacking. [EOS]",The chain of command was circumvented when the FAA's Boston Center contacted NEADS directly.,The FAA's Boston Center bypassed the chain of command and directly contacted NEADS after
"It is a pivotal time in the life of a young girl-when small changes in her behavior, or the choices she makes, can affect her future. [EOS]",It is important to help young girls with the choices that they make.,"A young girl's behavior can affect her future. onecemente,"
Landing meaningful and productive employment was hard for Miyares. [EOS],Miyares had difficulty getting a fulfilling and lucrative  job.,Miyares had a hard time finding meaningful and productive employment. ­hood
The paper marker identifies each piece in the layout so that the cloth pieces for individual apparel items can be put together after the fabric is cut. [EOS],The paper marker makes putting together the items more efficient.,"The paper marker identifies each piece in the layout. onece, so that"
"Noteworthy, too, are the strategies that have been devised to cope with the limits of our twenty-six letter alphabet. [EOS]",The strategies the were devised to cope with limits of our alphabet are noteworthy.,The strategies that have been devised to cope with the limits of our twenty-six letter
The airplane headed down; the control wheel was turned hard to the right. [EOS],The control wheel of the plane was turned to the right.,"The airplane was headed down. Vegas, the control wheel turned hard"
"In October, we will begin our annual telefund. [EOS]",We will have annual tele fund in October,We will begin our annual telefund in October. onecement of events
"Both dictionaries list abbreviations and biographical and geographical entries in separate sections at the back, a practice I have never liked. [EOS]","I always disliked dictionaries that list geographical, biographical and abbreviation entries in different areas towards the back of the text.",I have never liked the practice of abbreviations and biographical entries in separate sections at
"Imaginative play, Vygotsky noted, also functions as a bridge from the concrete thought of the preschool and early school years to mature  adult thought, which can be totally free of real situations.  [EOS]",Imaginative play also works as a connector to mature adult thought from childlike concrete thought.,Vygotsky noted that imaginative play can be totally free of real situations. 
Make-believe play is yet another. [EOS],Pretend play is yet another.,Play is another thing.  summa contravene the first one in terms
This fall alumni and students at the Indiana University School of Law Indianapolis will initiate several programs to encourage alumni support for the school. [EOS],Several programs will start in Indianapolis to get more alumni support. ,Alumni and students at the Indiana University School of Law Indianapolis will initiate several programs to
The Grill will feature enough activities that you and your kids will have a tough time deciding what to do. [EOS],It is hard to choose which activity to do,"The Grill has a lot of activities. oneventively, you and"
"(This, remember, was in my youth, and it was a time when typographical errors were called typographical errors, not typos'at least by kids in junior high.) [EOS]",This was in my youth when we didn't call things typos.,Kids in junior high used to call typographical errors typos. Commentary
"Our answer to that is, we stay focused on our mission of empowerment of women and their families. [EOS]",We are steadfast with our mission of empowering women and their families.,We stay focused on our mission of empowering women and their families. ­hood
"Given the predominant share of workers in assembly, organization of work in the sewing room has been the central focus of management attention. [EOS]",Management attention has been focused on organization of work in the sewing room.,The sewing room has been the center of management attention. onece over 50
"By 1993, Penney was using EDI for processing 97 percent of purchase orders and 85 percent of invoices with 3,400 of its 4,000 suppliers. [EOS]",Penney was using EDI in 1993 for processing much of its supply information.,EDI processed 97 percent of purchase orders and 85% invoices. 
"It is only from an article about CED that we learn it has  171,000 entries,  which suggests that Collins means by references what Merriam-Webster means by entries .  But CED and Cobuild certainly do not say so! [EOS]",Different dictionaries may use the terms entries and references to refer to the same thing.,"CED has 171,000 entries. onecement of what Merri"
