index,premise,hypothesis,label
15,<t> The supervisor instructed the controller to follow standard procedures for handling a no radio aircraft.</t> [EOS],The supervisor told the controller to follow standard procedures for handling a no radio aircraft.,0
39,"<t> When I found out that the infant mortality rate in Indiana was 86 percent greater than for mothers in Sweden, I was shocked.</t> [EOS]",I was shocked to learn that the infant mortality rate in Indiana is higher than Sweden.,0
86,"<t> Thus the evidence at the RHD offices indicated the need for reinforcement of the notion of maleness associated with the word, not, as M and S suggest, a trend toward epicenism.</t> [EOS]",The evidence at the RHD offices indicated that reinforcement of maleness was needed., 1
90,"<t> So what is the explanation of the phrase cold enough to freeze the balls off a brass monkey ?  Well, the obvious one, I believe.</t> [EOS]",I believe the phrase cold enough to freeze a brass monkey is an obvious explanation.,1
98,<t> Parental oversight and involvement in children's TV viewing are essential for two reasons.</t> [EOS],Parental oversight and involvement in children's TV viewing is essential for two reasons.,0
111,"<t> At 9:24, Ballinger's warning to United 93 was received in the cockpit.</t> [EOS]",Ballinger's warning to United 93 was received in the cockpit at 9:24.,0
114,"<t> Pursuant to the Nunn-Lugar-Domenici Domestic Preparedness Program, the Defense Department began in 1997 to train first responders in 120 of the nation's largest cities.</t> [EOS]",The Defense Department began training first responders in 120 of the nation's largest cities.,0
119,<t> The new world of rapid replenishment implies additional capabilities for both the retailer and manufacturer.</t> [EOS],The new world of rapid replenishment implies additional capabilities for both the retailer and manufacturer.,0
124,"<t> Girl Scouting's many friends who have been the recipients of good wishes, we have enhanced our facilities and programs to increase the joy that Girl Scouting brings to all girls.</t> [EOS]",We have improved our facilities and programs to increase the joy that Girl Scouting brings.,0
138,"<t> We have relied on a mix of common sense, the sound of the name in Arabic, and common usage in source materials, the press, or government documents.</t> [EOS]","We have relied on a mix of common sense, the sound in Arabic and usage.",0
181,"<t> For example, the Secretary of Labor has used his or her  bully pulpit to call attention to the problem</t> [EOS]",The Secretary of Labor has used his or her bully pulpit to call attention.,0
190,<t> This information infrastructure proved most beneficial when it gave Penney's major vendors access to sales data via direct broadcast satellite.</t> [EOS],Penney's major vendors were given access to sales data via direct broadcast satellite.,0
192,"<t> More likely, they read wants as meaning `desires' rather than `lacks,' but that might well be a deliberate, facetious ambiguity.</t> [EOS]",They might be reading wants as meaning 'desires' rather than just lacks.,0
194,"<t> On 9/11, the terrorists turned off the transponders on three of the four hijacked aircraft.</t> [EOS]",The terrorists turned off the transponders on three of four hijacked aircraft.,0
227,<t> The looking-glass image of utopia--dystopia--has provided more numerous additions to the English lexicon.</t> [EOS],The English lexicon has been expanded by the looking-glass image of utopia.,0
232,<t> Bin Ladin was prepared to pick up where he had left off in Sudan.</t> [EOS],Bin Ladins was prepared to take up where he left off in Sudan.,0
239,"<t> In British English it is no longer considered a solecism to use the plurals they, their, them, theirs as a generalized pronoun for words like eyeryone, everybody, anyone, anybody , etc.</t> [EOS]",British English is no longer considered a solecism to use the plurals.,1
253,<t> Rusine should be added to the supplement of English words ending in - ine (p.</t> [EOS],Rusine should be added to the supplement of English words ending in -ine.,0
260,"<t> Bin Ladin apparently kept his options open, maintaining contacts with Gulbuddin Hekmatyar, who, though an Islamic extremist, was also one of the Taliban's most militant opponents.</t> [EOS]",Bin Ladins had contacts with Gulbuddin Hekmatyar.,0
276,"<t> metapsychosis One of the finest of traps for the knowledgeable  it has nothing to do with some over-arching, society-wide psychological illness like alcoholism or jogging.</t> [EOS]",Metapsychosis is not a psychological illness like alcoholism or jogging.,1
280,"<t> No evidence of firearms or of their identifiable remains was found at the aircraft's crash site, and the cockpit voice recorder gives no indication of a gun being fired or mentioned at any time.</t> [EOS]",There was no evidence of firearms or their remains at the aircraft's crash site.,0
282,"<t> There is another option called, SUGGEST, which, if invoked, lists up to seven or eight words that you might have had in mind when you wrote the one that offended the machine, and this brings me to the point of this article.</t> [EOS]",SUGGEST is a way to list up the words that offended you.,2
283,"<t> The Japanese spell and pronounce what they hear and are accustomed to pronounce, much as Americans are inclined to say  Kindagarden,   ekscape,   lawnjeray,   asterik,  and  ekcetera. </t> [EOS]","Americans are inclined to say Kindagarden, ekscape and lawnjeray.",0
324,<t> The lines further from the trend line indicate the range with a likelihood of 90 percent.</t> [EOS],The range with a 90 percent chance is indicated by the lines further from trend line.,0
370,"<t> In studies following children from infancy into childhood and adolescence, early brief episodes of parental stimulation and sensitivity did not result in more competent children.</t> [EOS]",Early brief episodes of parental stimulation and sensitivity did not result in more competent children.,0
379,"<t> I am happy, by the way, that Abate did not say that studying Latin helps you to think clearly'an erroneous notion still often heard.</t> [EOS]",I am happy that Abate did not say studying Latin helps you to think clearly.,0
383,"<t> Even Shelley may stake a claim, if only in the pajama division of this sector, thanks to his description in Epipsychidion of how</t> [EOS]",Shelley may stake a claim in the pajama division of this sector.,0
396,"<t> Although few retailers have embraced the complete set of forecasting and inventory models described in this chapter, lean retailers are moving in that direction.</t> [EOS]",Few retailers have embraced the complete set of forecasting and inventory models described in this chapter.,0
411,<t> Your National Audubon Society membership also gives you the opportunity to be part of the Audubon Network.</t> [EOS],You can join the Audubon Network with your NationalAudbons Society membership.,0
454,<t> The YMCA of the USA also named it an Outstanding International Program in 1997.</t> [EOS],The YMCA of the USA named it an Outstanding International Program in 1997.,0
